County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,None,Don't Know,Not Stated
Female,"8,448",589,"5,500","1,275",328,68,3,,636,41,8
MUTOMO,"87,071","6,138","54,596","12,091","4,151","1,005",57,,"8,327",571,135
Male,"43,400","3,092","26,854","6,056","2,080",631,26,,"4,290",293,78
Female,"43,668","3,044","27,741","6,035","2,071",374,31,,"4,037",278,57
MWINGI CENTRAL,"86,387","5,109","50,794","15,900","4,620","1,931",52,,"7,416",404,161
Male,"42,345","2,586","24,679","7,788","2,104","1,107",32,,"3,754",211,84
Female,"44,042","2,523","26,115","8,112","2,516",824,20,,"3,662",193,77
MWINGI EAST,"64,565","4,520","41,851","8,596","2,237",695,30,,"6,034",365,237
Male,"31,539","2,270","19,948","4,365","1,095",457,17,,"3,119",169,99
Female,"33,022","2,250","21,901","4,230","1,142",238,13,,"2,914",196,138
NZAMBANI,"38,625","2,258","22,893","7,305","2,088",771,15,,"3,153",109,33
Male,"19,454","1,159","11,300","3,836","1,012",451,11,,"1,616",52,17
Female,"19,170","1,098","11,593","3,469","1,076",320,4,,"1,537",57,16
THAGICU,"11,778",692,"7,485","1,672",535,115,9,,"1,183",76,11
Male,"5,745",356,"3,592",811,272,78,4,,584,41,7
Female,"6,032",336,"3,892",861,263,37,5,,599,35,4
TSEIKURU,"30,246","2,955","18,971","3,749","1,091",314,46,,"2,927",102,91
Male,"15,036","1,448","9,140","2,032",591,212,26,,"1,485",56,46
Female,"15,210","1,507","9,831","1,717",500,102,20,,"1,442",46,45
MACHAKOS,"1,228,605","53,239","605,837","329,876","103,533","47,371",446,4,"81,880","4,396","2,023"
Male,"621,093","27,695","301,229","168,191","51,203","27,101",233,3,"42,023","2,296","1,119"
Female,"607,488","25,544","304,596","161,678","52,328","20,270",213,1,"39,854","2,100",904
ATHI RIVER,"282,339","8,056","96,106","93,488","37,574","25,535",122,3,"19,888","1,051",516
Male,"143,817","4,139","48,104","48,284","18,288","13,925",57,2,"10,116",616,286
Female,"138,521","3,917","48,002","45,204","19,286","11,610",65,1,"9,771",435,230
KALAMA,"45,900","2,792","24,372","11,802","2,766",826,23,,"3,012",195,112
Male,"22,978","1,437","11,938","5,982","1,386",526,11,,"1,556",89,53
Female,"22,917","1,355","12,432","5,817","1,380",300,12,,"1,456",106,59
KANGUNDO,"87,052","4,037","44,720","25,441","5,731","1,449",12,,"5,314",297,51
Male,"43,862","2,077","22,096","12,884","3,029",929,5,,"2,683",132,27
Female,"43,189","1,960","22,624","12,556","2,702",520,7,,"2,631",165,24
KATHIANI,"97,951","3,834","57,325","21,982","6,402","1,502",17,,"6,398",351,140
Male,"48,853","1,998","27,923","11,103","3,329",958,10,,"3,271",178,83
Female,"49,094","1,836","29,400","10,878","3,073",544,7,,"3,126",173,57
MACHAKOS,"149,046","5,135","66,213","41,651","18,192","7,571",28,,"9,362",628,266
Male,"75,155","2,626","33,407","20,933","8,622","4,312",15,,"4,770",325,145
Female,"73,885","2,509","32,804","20,717","9,568","3,259",13,,"4,591",303,121
MASINGA,"123,806","6,795","75,685","23,898","5,809","1,865",65,,"8,754",521,414
Male,"62,390","3,597","37,527","11,988","2,943","1,181",36,,"4,602",286,230
Female,"61,414","3,198","38,156","11,910","2,866",684,29,,"4,152",235,184
MATUNGULU,"141,017","6,860","72,601","38,401","9,860","2,996",33,,"9,737",396,133
Male,"71,601","3,583","36,412","19,691","4,948","1,731",17,,"4,942",191,86
Female,"69,413","3,277","36,187","18,709","4,912","1,265",16,,"4,795",205,47
MWALA,"157,089","8,798","87,431","38,762","8,841","2,849",69,1,"9,704",487,147
Male,"79,772","4,647","43,547","19,877","4,516","1,789",32,1,"5,058",231,74
Female,"77,316","4,151","43,883","18,885","4,325","1,060",37,,"4,646",256,73
YATTA,"144,405","6,932","81,384","34,451","8,358","2,778",77,,"9,711",470,244
Male,"72,665","3,591","40,275","17,449","4,142","1,750",50,,"5,025",248,135
Female,"71,739","3,341","41,108","17,002","4,216","1,028",27,,"4,686",222,109
MAKUENI,"837,302","44,883","470,494","195,236","49,293","17,218",253,2,"54,965","3,356","1,602"
Male,"420,302","23,044","232,854","97,989","24,676","10,750",123,1,"28,269","1,708",888
Female,"416,985","21,838","237,630","97,246","24,615","6,468",130,1,"26,695","1,648",714
KATHONZWENI,"67,132","3,524","38,281","15,085","4,009","1,274",13,,"4,347",436,163
Male,"33,684","1,847","18,928","7,542","2,011",806,6,,"2,208",249,87
Female,"33,445","1,677","19,350","7,543","1,998",468,7,,"2,139",187,76
KIBWEZI,"163,384","9,538","97,331","34,804","6,935","2,709",44,,"11,157",599,267
Male,"82,305","4,864","48,462","17,461","3,547","1,785",21,,"5,674",333,158
Female,"81,075","4,674","48,866","17,343","3,387",924,23,,"5,483",266,109
KILUNGU,"52,526","2,429","31,204","11,532","2,577",893,23,,"3,615",163,90
Male,"25,443","1,208","14,761","5,647","1,279",548,14,,"1,871",66,49
Female,"27,082","1,221","16,442","5,885","1,298",345,9,,"1,744",97,41
MAKINDU,"70,628","3,852","39,795","15,853","4,140","1,536",34,1,"4,966",250,201
Male,"35,212","2,045","19,469","7,842","1,979",981,17,1,"2,631",139,108
Female,"35,416","1,807","20,326","8,011","2,161",555,17,,"2,335",111,93
MAKUENI,"112,666","6,135","55,942","29,085","9,803","3,759",35,,"7,182",586,139
Male,"57,095","3,156","28,067","14,572","4,912","2,244",16,,"3,765",282,81
Female,"55,569","2,978","27,874","14,513","4,891","1,515",19,,"3,417",304,58
MBOONI EAST,"83,425","5,317","46,619","19,163","4,852","1,490",44,,"5,464",298,178
Male,"41,942","2,772","23,080","9,630","2,449",919,14,,"2,830",145,103
Female,"41,482","2,545","23,539","9,533","2,403",571,30,,"2,633",153,75
MBOONI WEST,"88,610","4,523","50,152","21,010","5,094","1,567",21,,"5,657",384,202
Male,"43,407","2,330","24,146","10,292","2,514",965,13,,"2,865",170,112
Female,"45,202","2,193","26,006","10,718","2,579",602,8,,"2,792",214,90
MUKAA,"91,871","4,684","50,206","23,465","5,463","1,848",19,1,"5,842",232,111
Male,"47,042","2,366","25,373","12,157","2,796","1,150",11,,"3,013",117,59
Female,"44,829","2,318","24,833","11,308","2,667",698,8,1,"2,829",115,52
NZAUI,"107,060","4,881","60,964","25,239","6,420","2,142",20,,"6,735",408,251
Male,"54,172","2,456","30,568","12,846","3,189","1,352",11,,"3,412",207,131
Female,"52,885","2,425","30,394","12,392","3,231",790,9,,"3,323",201,120
NYANDARUA,"554,036","22,418","304,961","146,945","27,565","9,751",68,1,"40,873","1,211",243
Male,"277,223","11,457","152,064","72,031","13,821","6,070",33,1,"21,016",592,138
Female,"276,797","10,960","152,887","74,911","13,744","3,681",35,,"19,856",619,104
KINANGOP,"96,274","3,899","54,233","25,483","4,442","1,500",12,1,"6,540",127,37
Male,"47,838","2,004","26,910","12,417","2,169",926,8,1,"3,318",64,21
Female,"48,433","1,895","27,321","13,066","2,273",574,4,,"3,221",63,16
NYANDARUA SOUTH,"81,756","3,371","45,396","21,028","4,305","1,640",6,,"5,829",166,15
Male,"40,704","1,741","22,637","10,065","2,166","1,025",4,,"2,967",89,10
Female,"41,049","1,630","22,758","10,961","2,139",615,2,,"2,862",77,5
MIRANGINE,"57,966","2,391","32,617","15,110","2,262",643,5,,"4,816",94,28
Male,"29,299","1,215","16,364","7,584","1,155",433,2,,"2,481",48,17
Female,"28,666","1,176","16,252","7,526","1,107",210,3,,"2,335",46,11
KIPIPIRI,"81,270","3,634","49,097","18,756","2,986","1,005",19,,"5,511",230,32
Male,"40,745","1,867","24,515","9,220","1,558",628,6,,"2,829",106,16
Female,"40,523","1,766","24,581","9,536","1,428",377,13,,"2,682",124,16
NYANDARUA CENTRAL,"64,926","2,975","33,231","18,155","3,974","1,543",6,,"4,844",159,39
Male,"32,684","1,501","16,687","8,909","1,948",950,3,,"2,580",85,21
Female,"32,241","1,474","16,543","9,246","2,026",593,3,,"2,264",74,18
NYANDARUA WEST,"85,804","2,896","44,130","24,806","5,026","1,851",9,,"6,883",169,34
Male,"43,142","1,478","22,141","12,194","2,538","1,150",4,,"3,545",76,16
Female,"42,658","1,418","21,985","12,612","2,488",701,5,,"3,338",93,18
NYANDARUA NORTH,"86,026","3,252","46,253","23,600","4,567","1,569",11,,"6,450",266,58
Male,"42,801","1,651","22,808","11,637","2,284",958,6,,"3,296",124,37
Female,"43,223","1,601","23,445","11,962","2,283",611,5,,"3,154",142,20
ABERDARE NATIONAL PARK,14,,4,7,3,,,,,,
Male,10,,2,5,3,,,,,,
Female,4,,2,2,,,,,,,
NYERI,"669,179","21,243","310,058","213,006","58,744","22,341",66,,"40,928","2,170",623
Male,"333,191","10,675","153,928","105,311","27,907","13,063",32,,"20,900","1,050",325
Female,"335,963","10,568","156,110","107,691","30,837","9,278",34,,"20,027","1,120",298
TETU,"71,556","3,104","33,512","23,066","5,595","1,634",10,,"4,366",222,47
Male,"35,587","1,531","16,608","11,456","2,721",918,6,,"2,224",105,18
Female,"35,967","1,573","16,903","11,609","2,874",716,4,,"2,142",117,29
KIENI EAST,"97,363","3,155","47,288","30,514","7,564","2,319",11,,"6,219",237,56
Male,"49,107","1,602","24,014","15,203","3,591","1,368",8,,"3,150",131,40
Female,"48,252","1,553","23,272","15,310","3,973",951,3,,"3,068",106,16
KIENI WEST,"77,958","2,663","41,193","22,859","4,460","1,384",7,,"5,108",211,73
Male,"39,101","1,357","20,472","11,377","2,260",818,2,,"2,667",105,43
Female,"38,852","1,306","20,716","11,482","2,200",566,5,,"2,441",106,30
MATHIRA EAST,"88,451","2,097","37,983","29,267","9,023","4,399",9,,"5,306",313,54
Male,"43,328",996,"18,616","14,040","4,236","2,612",3,,"2,652",146,27
Female,"45,120","1,101","19,365","15,226","4,787","1,787",6,,"2,654",167,27
MATHIRA WEST,"53,736","1,583","26,529","17,265","3,842","1,120",5,,"3,120",236,36
Male,"26,800",830,"13,145","8,553","1,897",633,3,,"1,627",100,12
Female,"26,933",753,"13,382","8,711","1,945",487,2,,"1,493",136,24
NYERI SOUTH,"79,983","2,165","37,269","26,651","6,733","2,061",9,,"4,794",239,62
Male,"39,530","1,038","18,243","13,203","3,241","1,187",2,,"2,487",98,31
Female,"40,452","1,127","19,025","13,448","3,492",874,7,,"2,307",141,31
MUKURWE-INI,"77,621","2,435","41,640","22,190","4,986","1,549",5,,"4,434",242,140
Male,"39,162","1,244","20,656","11,270","2,595",968,3,,"2,244",112,70
Female,"38,454","1,191","20,979","10,920","2,391",581,2,,"2,190",130,70
NYERI CENTRAL,"122,241","4,037","44,573","41,061","16,497","7,867",10,,"7,571",470,155
Male,"60,394","2,074","22,124","20,117","7,343","4,552",5,,"3,842",253,84
Female,"61,845","1,963","22,447","20,944","9,154","3,315",5,,"3,729",217,71
MT. KENYA FOREST,174,4,61,74,25,2,,,8,,
Male,115,3,42,51,12,2,,,5,,
Female,59,1,19,23,13,,,,3,,
ABERDARE FOREST,96,,10,59,19,6,,,2,,
Male,67,,8,41,11,5,,,2,,
Female,29,,2,18,8,1,,,,,
KIRINYAGA,"529,936","22,338","269,790","152,588","36,898","12,876",109,2,"33,532","1,435",368
Male,"266,723","11,433","135,224","76,131","18,299","7,710",51,1,"16,924",737,213
Female,"263,187","10,904","134,549","76,450","18,599","5,166",58,1,"16,607",698,155
KIRINYAGA CENTRAL,"106,657","4,090","49,899","32,226","9,501","3,715",11,,"6,784",331,100
Male,"53,267","2,099","24,938","15,799","4,568","2,204",7,,"3,430",164,58
Female,"53,386","1,991","24,958","16,426","4,933","1,511",4,,"3,354",167,42
KIRINYAGA EAST,"118,613","6,097","58,493","36,057","8,160","2,586",17,,"6,842",280,81
Male,"60,084","3,103","29,584","18,009","4,257","1,548",12,,"3,377",147,47
Female,"58,521","2,993","28,905","18,045","3,903","1,038",5,,"3,465",133,34
KIRINYAGA WEST,"100,427","3,645","51,022","29,449","7,046","2,338",20,2,"6,561",293,51
Male,"50,206","1,807","25,307","14,643","3,547","1,369",9,1,"3,357",136,30
Female,"50,218","1,838","25,712","14,806","3,499",969,11,1,"3,204",157,21
MWEA EAST,"112,975","4,840","58,803","31,350","7,469","2,716",49,,"7,338",321,89
Male,"56,761","2,500","29,614","15,505","3,526","1,645",22,,"3,723",180,46
Female,"56,208","2,340","29,184","15,844","3,943","1,071",27,,"3,615",141,43
MWEA WEST,"91,230","3,666","51,569","23,493","4,710","1,518",12,,"6,005",210,47
Male,"46,381","1,924","25,777","12,166","2,391",943,1,,"3,037",110,32
Female,"44,844","1,742","25,790","11,325","2,319",575,11,,"2,967",100,15
MT. KENYA FOREST,34,,4,13,12,3,,,2,,
Male,24,,4,9,10,1,,,,,
Female,10,,,4,2,2,,,2,,
MURANG'A,"911,765","36,770","500,277","244,592","52,257","17,886",123,2,"56,716","2,556",586
Male,"460,085","18,613","249,715","124,185","26,212","11,006",66,2,"28,685","1,290",311
Female,"451,651","18,157","250,547","120,403","26,042","6,879",57,,"28,026","1,265",275
MURANG'A EAST,"93,767","3,552","48,148","25,303","7,626","3,286",18,1,"5,516",253,64
Male,"46,925","1,789","24,395","12,381","3,509","1,876",8,1,"2,776",154,36
Female,"46,841","1,763","23,753","12,922","4,117","1,410",10,,"2,739",99,28
KANGEMA,"69,647","2,301","38,432","19,199","4,078","1,251",8,,"4,129",228,21
Male,"35,032","1,166","19,045","9,740","2,083",796,5,,"2,078",106,13
Female,"34,612","1,135","19,387","9,457","1,995",455,3,,"2,050",122,8
MATHIOYA,"79,274","3,239","43,554","21,210","4,553","1,333",11,,"4,994",330,50
Male,"39,849","1,647","21,807","10,528","2,354",824,4,,"2,510",148,27
Female,"39,424","1,592","21,746","10,682","2,199",509,7,,"2,484",182,23
KAHURO,"76,930","2,366","43,231","21,367","4,100","1,211",10,,"4,310",291,44
Male,"38,565","1,134","21,353","10,826","2,122",778,4,,"2,197",132,19
Female,"38,358","1,232","21,875","10,540","1,977",433,6,,"2,111",159,25
MURANG'A SOUTH,"159,238","6,344","88,441","41,133","9,164","3,377",18,1,"10,291",365,104
Male,"80,265","3,238","44,109","20,837","4,508","2,094",13,1,"5,230",182,53
Female,"78,968","3,106","44,330","20,296","4,654","1,283",5,,"5,060",183,51
GATANGA,"163,372","6,400","89,379","43,755","9,153","3,340",19,,"10,795",419,112
Male,"83,337","3,248","44,963","22,780","4,591","2,011",12,,"5,443",230,59
Female,"80,032","3,152","44,414","20,975","4,562","1,329",7,,"5,352",188,53
KIGUMO,"118,165","5,634","65,792","31,796","5,742","1,778",21,,"7,065",252,85
Male,"59,748","2,888","32,767","16,134","3,024","1,158",10,,"3,602",119,46
Female,"58,414","2,746","33,023","15,662","2,718",619,11,,"3,463",133,39
KANDARA,"151,331","6,931","83,294","40,804","7,836","2,310",18,,"9,614",418,106
Male,"76,334","3,501","41,272","20,941","4,016","1,469",10,,"4,848",219,58
Female,"74,991","3,430","42,017","19,862","3,820",841,8,,"4,766",199,48
ABERDARE FOREST,41,3,6,25,5,,,,2,,
Male,30,2,4,18,5,,,,1,,
Female,11,1,2,7,,,,,1,,
KIAMBU,"2,119,863","65,892","819,939","685,577","258,123","138,861",212,4,"142,598","6,166","2,491"
Male,"1,044,944","33,212","400,056","340,395","117,289","76,927",83,2,"72,249","3,380","1,351"
Female,"1,074,806","32,675","419,836","345,144","140,824","61,929",129,2,"70,342","2,785","1,140"
GATUNDU NORTH,"95,276","4,413","49,088","28,270","5,795","1,398",12,,"5,878",311,111
Male,"47,898","2,145","24,334","14,387","2,978",834,3,,"2,996",160,61
Female,"47,376","2,268","24,754","13,882","2,816",564,9,,"2,882",151,50
GATUNDU SOUTH,"105,449","3,137","54,119","32,293","7,187","1,764",19,,"6,440",363,127
Male,"53,333","1,616","26,854","16,569","3,649","1,083",8,,"3,286",202,66
Female,"52,112","1,521","27,264","15,722","3,538",681,11,,"3,153",161,61
GITHUNGURI,"144,873","4,998","66,673","48,727","12,101","3,106",12,,"8,852",321,83
Male,"72,888","2,571","33,437","24,641","5,781","1,771",3,,"4,485",157,42
Female,"71,978","2,427","33,232","24,083","6,320","1,335",9,,"4,367",164,41
JUJA,"265,949","8,556","92,608","85,218","37,625","21,710",28,,"18,981",842,381
Male,"131,199","4,327","44,743","42,107","16,788","12,911",11,,"9,618",485,209
Female,"134,731","4,229","47,858","43,103","20,833","8,799",17,,"9,363",357,172
KABETE,"176,713","4,439","64,331","59,417","23,317","12,947",12,1,"11,611",476,162
Male,"86,641","2,219","31,344","29,422","10,476","6,983",4,,"5,848",260,85
Female,"90,058","2,220","32,983","29,987","12,841","5,963",8,1,"5,762",216,77
KIAMBAA,"207,042","6,564","75,728","67,553","26,430","15,549",24,,"14,297",566,331
Male,"101,843","3,311","36,863","34,322","11,550","8,063",15,,"7,245",296,178
Female,"105,190","3,251","38,861","33,231","14,879","7,485",9,,"7,052",269,153
KIAMBU,"127,372","3,560","44,834","38,892","18,653","12,745",11,,"8,106",389,182
Male,"60,712","1,755","21,481","18,430","8,090","6,562",3,,"4,080",217,94
Female,"66,647","1,805","23,348","20,456","10,562","6,183",8,,"4,025",172,88
KIKUYU,"165,020","4,513","60,866","49,382","22,433","15,853",10,,"11,334",496,133
Male,"80,241","2,323","29,510","23,996","9,964","8,373",2,,"5,733",270,70
Female,"84,775","2,189","31,353","25,386","12,469","7,480",8,,"5,601",226,63
LARI,"117,345","4,215","59,974","34,749","8,172","2,357",14,,"7,436",351,77
Male,"58,938","2,129","29,743","17,597","4,053","1,378",5,,"3,800",185,48
Female,"58,405","2,085","30,231","17,152","4,119",979,9,,"3,635",166,29
LIMURU,"138,940","5,095","62,509","43,369","12,986","4,887",15,,"9,546",419,114
Male,"70,268","2,622","31,575","22,337","5,967","2,648",4,,"4,845",203,67
Female,"68,672","2,473","30,934","21,032","7,019","2,239",11,,"4,701",216,47
RUIRU,"327,537","9,879","103,379","113,886","46,091","29,784",37,1,"22,927","1,020",533
Male,"159,022","4,884","48,540","55,273","21,002","16,806",17,1,"11,590",605,304
Female,"168,496","4,995","54,832","58,607","25,088","12,976",20,,"11,334",415,229
THIKA EAST,"33,778","1,284","16,437","10,026","2,797",775,4,,"2,374",63,18
Male,"17,320",666,"8,288","5,301","1,362",465,4,,"1,187",37,10
Female,"16,454",618,"8,147","4,723","1,435",310,,,"1,187",26,8
THIKA WEST,"214,569","5,239","69,393","73,795","34,536","15,986",14,2,"14,816",549,239
Male,"104,641","2,644","33,344","36,013","15,629","9,050",4,1,"7,536",303,117
Female,"109,912","2,594","36,039","37,780","18,905","6,935",10,1,"7,280",246,122
TURKANA,"246,743","18,056","126,033","42,812","11,207","4,735",650,1,"40,756",916,"1,577"
Male,"134,242","9,079","65,802","26,732","7,006","3,504",351,,"20,384",545,839
Female,"112,498","8,976","60,230","16,080","4,201","1,231",299,1,"20,371",371,738
KIBISH,"3,169",271,"1,725",445,93,37,14,,547,16,21
Male,"1,902",133,"1,008",338,71,28,8,,291,9,16
Female,"1,266",138,717,107,22,9,6,,255,7,5
LOIMA,"17,434","1,273","8,822","1,744",374,111,71,,"4,574",59,406
Male,"9,108",626,"4,455","1,130",250,92,43,,"2,279",36,197
Female,"8,326",647,"4,367",614,124,19,28,,"2,295",23,209
TURKANA CENTRAL,"81,517","5,888","38,458","15,977","5,253","2,516",119,,"12,846",312,148
Male,"42,842","2,921","19,294","9,168","2,936","1,805",63,,"6,385",183,87
Female,"38,675","2,967","19,164","6,809","2,317",711,56,,"6,461",129,61
TURKANA EAST,"20,823","1,489","10,332","4,583","1,133",323,81,1,"2,501",100,280
Male,"11,534",767,"5,435","2,769",748,253,54,,"1,307",51,150
Female,"9,289",722,"4,897","1,814",385,70,27,1,"1,194",49,130
TURKANA NORTH,"11,892","1,123","5,549","1,372",462,139,66,,"3,107",31,43
Male,"6,748",565,"3,127",948,333,115,34,,"1,575",25,26
Female,"5,144",558,"2,422",424,129,24,32,,"1,532",6,17
TURKANA SOUTH,"41,268","3,008","21,557","7,247","1,761",613,102,,"6,750",77,153
Male,"21,587","1,457","10,580","4,420","1,189",474,54,,"3,282",43,88
Female,"19,679","1,550","10,976","2,827",572,139,48,,"3,468",34,65
TURKANA WEST,"70,640","5,004","39,590","11,444","2,131",996,197,,"10,431",321,526
Male,"40,521","2,610","21,903","7,959","1,479",737,95,,"5,265",198,275
Female,"30,119","2,394","17,687","3,485",652,259,102,,"5,166",123,251
WEST POKOT,"328,752","26,768","180,941","48,507","12,995","5,905",515,1,"51,949",506,665
Male,"168,629","13,541","89,949","27,411","6,671","3,764",268,1,"26,377",296,351
Female,"160,116","13,226","90,987","21,096","6,324","2,141",247,,"25,571",210,314
KIPKOMO,"67,450","4,684","39,452","9,195","2,486",965,111,,"10,336",103,118
Male,"34,453","2,402","19,601","5,160","1,231",633,63,,"5,238",59,66
Female,"32,993","2,282","19,847","4,035","1,255",332,48,,"5,098",44,52
POKOT CENTRAL,"58,170","4,240","35,720","6,062","1,503",467,70,,"9,979",52,77
Male,"30,580","2,204","18,323","3,615",928,330,34,,"5,080",28,38
Female,"27,589","2,036","17,396","2,447",575,137,36,,"4,899",24,39
POKOT NORTH,"33,944","2,890","18,158","4,292","1,156",433,45,1,"6,823",41,105
Male,"17,446","1,393","8,854","2,704",712,316,24,1,"3,373",21,48
Female,"16,498","1,497","9,304","1,588",444,117,21,,"3,450",20,57
POKOT SOUTH,"56,673","4,419","31,261","8,626","2,275",773,79,,"9,076",74,90
Male,"28,727","2,252","15,280","4,739","1,162",518,32,,"4,650",48,46
Female,"27,944","2,166","15,981","3,887","1,113",255,47,,"4,425",26,44
WEST POKOT,"112,515","10,535","56,350","20,332","5,575","3,267",210,,"15,735",236,275
Male,"57,423","5,290","27,891","11,193","2,638","1,967",115,,"8,036",140,153
Female,"55,092","5,245","28,459","9,139","2,937","1,300",95,,"7,699",96,122
SAMBURU,"120,230","9,441","58,228","20,750","6,176","2,613",148,,"22,229",345,300
Male,"65,075","4,825","30,075","12,563","3,744","1,854",89,,"11,549",211,165
Female,"55,154","4,616","28,153","8,187","2,432",759,59,,"10,679",134,135
SAMBURU CENTRAL,"77,389","5,722","38,119","13,291","3,949","1,908",70,,"13,880",218,232
Male,"41,684","2,900","19,743","7,945","2,271","1,317",45,,"7,206",131,126
Female,"35,705","2,822","18,376","5,346","1,678",591,25,,"6,674",87,106
SAMBURU EAST,"25,288","1,961","12,277","4,485","1,466",435,35,,"4,489",91,49
Male,"13,688","1,009","6,295","2,709",907,318,23,,"2,342",57,28
Female,"11,600",952,"5,982","1,776",559,117,12,,"2,147",34,21
SAMBURU NORTH,"17,553","1,758","7,832","2,974",761,270,43,,"3,860",36,19
Male,"9,703",916,"4,037","1,909",566,219,21,,"2,001",23,11
Female,"7,849",842,"3,795","1,065",195,51,22,,"1,858",13,8
TRANS NZOIA,"807,667","53,584","431,851","182,554","37,608","18,580",442,1,"80,160","1,512","1,375"
Male,"400,680","26,744","210,971","91,074","17,835","11,357",238,1,"40,846",879,735
Female,"406,969","26,838","220,869","91,477","19,772","7,223",204,,"39,313",633,640
TRANS NZOIA WEST,"165,100","8,202","89,139","40,080","7,678","3,177",37,,"16,179",305,303
Male,"82,214","4,127","43,295","20,403","3,785","2,002",21,,"8,231",186,164
Female,"82,883","4,075","45,842","19,676","3,893","1,175",16,,"7,948",119,139
TRANS NZOIA EAST,"187,681","8,824","104,162","43,337","8,557","4,089",57,1,"17,847",400,407
Male,"93,324","4,511","51,085","21,624","4,049","2,517",30,1,"9,083",219,205
Female,"94,351","4,311","53,074","21,713","4,508","1,572",27,,"8,763",181,202
KWANZA,"163,735","16,789","84,278","34,275","7,163","3,303",208,,"17,043",374,302
Male,"81,182","8,339","41,219","16,921","3,450","2,063",112,,"8,696",213,169
Female,"82,550","8,450","43,058","17,353","3,712","1,240",96,,"8,347",161,133
ENDEBESS,"87,680","8,467","51,126","14,608","2,108",862,59,,"10,222",113,115
Male,"44,520","4,184","25,235","7,960","1,131",605,30,,"5,245",69,61
Female,"43,157","4,283","25,888","6,648",977,257,29,,"4,977",44,54
KIMININI,"203,471","11,302","103,146","50,254","12,102","7,149",81,,"18,869",320,248
Male,"99,440","5,583","50,137","24,166","5,420","4,170",45,,"9,591",192,136
Female,"104,028","5,719","53,007","26,087","6,682","2,979",36,,"9,278",128,112
UASIN GISHU,"982,670","43,537","448,585","266,209","88,308","48,856",328,6,"83,392","2,148","1,301"
Male,"491,510","22,206","223,415","134,529","39,932","26,374",175,3,"42,987","1,161",728
Female,"491,139","21,331","225,165","131,673","48,373","22,479",153,3,"40,403",987,572
AINABKOI,"117,289","4,858","51,897","31,360","11,631","7,500",32,,"9,657",259,95
Male,"58,348","2,426","26,095","15,634","5,193","3,798",16,,"4,997",142,47
Female,"58,941","2,432","25,802","15,726","6,438","3,702",16,,"4,660",117,48
KAPSERET,"171,715","6,143","69,354","51,007","20,164","11,456",37,,"12,910",376,268
Male,"86,038","3,091","34,623","26,031","9,282","6,028",18,,"6,610",210,145
Female,"85,673","3,052","34,730","24,974","10,881","5,428",19,,"6,300",166,123
KESSES,"125,458","5,915","62,591","30,470","9,423","5,396",26,,"11,300",259,78
Male,"63,271","3,127","31,477","15,351","4,264","2,961",13,,"5,907",128,43
Female,"62,184","2,788","31,113","15,119","5,158","2,434",13,,"5,393",131,35
MOIBEN,"152,275","5,862","66,472","41,659","15,547","10,063",61,1,"12,132",278,200
Male,"75,484","2,934","33,262","20,672","6,673","5,448",29,1,"6,212",148,105
Female,"76,789","2,928","33,208","20,987","8,874","4,615",32,,"5,920",130,95
SOY,"192,028","9,764","98,152","47,852","12,012","5,690",83,2,"17,860",366,247
Male,"96,177","5,067","48,896","23,928","5,453","3,215",42,1,"9,223",197,155
Female,"95,846","4,697","49,256","23,923","6,558","2,474",41,1,"8,636",169,91
TURBO,"223,905","10,995","100,119","63,861","19,531","8,751",89,3,"19,533",610,413
Male,"112,192","5,561","49,062","32,913","9,067","4,924",57,1,"10,038",336,233
Female,"111,706","5,434","51,056","30,944","10,464","3,826",32,2,"9,494",274,180
ELGEYO/MARAKWET,"363,177","22,797","193,605","78,023","19,913","7,821",229,1,"39,336",808,644
Male,"183,740","11,781","96,142","40,644","9,548","4,452",131,1,"20,217",472,352
Female,"179,428","11,015","97,458","37,378","10,364","3,368",98,,"19,119",336,292
KEIYO NORTH,"83,235","4,781","41,173","20,522","6,011","2,526",17,,"7,910",206,89
Male,"41,815","2,471","20,618","10,390","2,680","1,344",10,,"4,129",126,47
Female,"41,419","2,310","20,554","10,132","3,331","1,182",7,,"3,781",80,42
KEIYO SOUTH,"100,537","6,846","53,041","22,680","5,813","2,129",57,,"9,289",278,404
Male,"51,261","3,558","26,940","11,649","2,789","1,114",32,,"4,791",168,220
Female,"49,273","3,288","26,101","11,030","3,023","1,014",25,,"4,498",110,184
MARAKWET EAST,"70,984","5,328","38,935","12,431","2,690","1,016",81,1,"10,310",161,31
Male,"35,834","2,707","18,659","6,949","1,393",669,42,1,"5,310",86,18
Female,"35,149","2,620","20,276","5,482","1,297",347,39,,"5,000",75,13
MARAKWET WEST,"108,421","5,842","60,456","22,390","5,399","2,150",74,,"11,827",163,120
Male,"54,830","3,045","29,925","11,656","2,686","1,325",47,,"5,987",92,67
Female,"53,587","2,797","30,527","10,734","2,713",825,27,,"5,840",71,53
NANDI,"744,256","49,297","409,504","152,581","42,676","17,229",518,4,"69,531","1,796","1,120"
Male,"373,405","25,091","202,804","77,805","20,192","9,956",286,2,"35,665",982,622
Female,"370,835","24,206","206,687","74,775","22,484","7,273",232,2,"33,864",814,498
CHESUMEI,"140,057","7,662","73,354","32,577","9,943","4,499",55,1,"11,581",267,118
