S_No,REGION,COUNTY,SUB_COUNTY,UIC,KNEC,SCHOOL_NAME,CLUSTER,TYPE,DISABILITY_TYPE,ACCOMMODATION_TYPE,GENDER
2549,RIFT VALLEY,KERICHO,LONDIANI,U7G3,28571406,TUMAINI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2550,RIFT VALLEY,KERICHO,LONDIANI,VXMK,28571208,UNITED SOY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2610,CENTRAL,KIAMBU,GATUNDU,NORTH,4828,11236118 MUTUMA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2660,CENTRAL,KIAMBU,GITHUNGURI,DQCA,11232202,GATHAITHI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2661,CENTRAL,KIAMBU,GITHUNGURI,GFUV,11232109,GATHANJI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2662,CENTRAL,KIAMBU,GITHUNGURI,8V5S,11232104,GATHIRIMU GIRLS TECHNICAL HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
2663,CENTRAL,KIAMBU,GITHUNGURI,DFBL,11232302,GATHIRU-INI SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
2664,CENTRAL,KIAMBU,GITHUNGURI,9RAX,11232306,GATHUGU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2665,CENTRAL,KIAMBU,GITHUNGURI,PB65,11232204,GIKANG'A KAGECHE SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2666,CENTRAL,KIAMBU,GITHUNGURI,Y4PK,11232201,GITHIGA HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,MIXED
2667,CENTRAL,KIAMBU,GITHUNGURI,QDSR,11232308,GITHIMA SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
2668,CENTRAL,KIAMBU,GITHUNGURI,F2JH,11232112,GITHUNGURI TECHNICAL AND SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2669,CENTRAL,KIAMBU,GITHUNGURI,KXVD,11232207,GITIHA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2670,CENTRAL,KIAMBU,GITHUNGURI,L4HE,11232107,GITWE GIRLS SECONDARY SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
2671,CENTRAL,KIAMBU,GITHUNGURI,X9VT,11232303,J G KIEREINI SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
2672,CENTRAL,KIAMBU,GITHUNGURI,NWNG,11232311,KAGEMA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2673,CENTRAL,KIAMBU,GITHUNGURI,C7ZE,11232111,KAHUNIRA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2674,CENTRAL,KIAMBU,GITHUNGURI,SA3X,11232101,KAMBUI GIRLS' HIGH SCHOOL,C1,PUBLIC,NONE,BOARDING,GIRLS
2675,CENTRAL,KIAMBU,GITHUNGURI,RV7Z,11232209,KAMONDO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2676,CENTRAL,KIAMBU,GITHUNGURI,XMVG,11232110,KANJAI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2677,CENTRAL,KIAMBU,GITHUNGURI,XDCF,11232103,KIAIRIA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2678,CENTRAL,KIAMBU,GITHUNGURI,G8CK,11232305,KIAMBURURU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2679,CENTRAL,KIAMBU,GITHUNGURI,LX27,11232312,KIAWAIRIA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2680,CENTRAL,KIAMBU,GITHUNGURI,AWZG,11232307,KIGUMO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2681,CENTRAL,KIAMBU,GITHUNGURI,GCGU,11232301,KOMOTHAI BOYS HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,BOYS
2682,CENTRAL,KIAMBU,GITHUNGURI,RCE9,11232304,KOMOTHAI GIRL'S TECHNICAL SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
2683,CENTRAL,KIAMBU,GITHUNGURI,WHGC,11232108,MIGUTA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2684,CENTRAL,KIAMBU,GITHUNGURI,EEWB,11232116,MIIRI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2685,CENTRAL,KIAMBU,GITHUNGURI,L9WF,11232105,MUKUA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2686,CENTRAL,KIAMBU,GITHUNGURI,7U5W,11232203,MUKUYU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2687,CENTRAL,KIAMBU,GITHUNGURI,AMHF,11232114,NDIRETI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2688,CENTRAL,KIAMBU,GITHUNGURI,ECAL,11232106,NYAGA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2689,CENTRAL,KIAMBU,GITHUNGURI,M2JN,11232212,P.C.E.A KARIA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2690,CENTRAL,KIAMBU,GITHUNGURI,BBAT,11232115,P.C.E.A MITAHATO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2691,CENTRAL,KIAMBU,GITHUNGURI,FP34,11232210,P.C.E.A NGEMWA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2692,CENTRAL,KIAMBU,GITHUNGURI,9MGT,11232113,PCEA KAMBUI SCHOOL FOR HEARING IMPAIRED,C1,PUBLIC,NONE,DAY,MIXED
2693,CENTRAL,KIAMBU,GITHUNGURI,WYMR,11232211,PCEA MATUGUTA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2694,CENTRAL,KIAMBU,GITHUNGURI,G7AH,11232102,ST JOSEPH HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,MIXED
2695,CENTRAL,KIAMBU,GITHUNGURI,25RB,11232206,ST VINCENT LIOKI SECONDARY SCHOO,C4,PUBLIC,NONE,DAY,MIXED
2696,CENTRAL,KIAMBU,GITHUNGURI,GZ38,11232309,THUITA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2697,CENTRAL,KIAMBU,GITHUNGURI,2V2A,11232205,WILLIAM NG’IRU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2698,CENTRAL,KIAMBU,GITHURAI,TBCA,11245206,GITHURAI MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2699,CENTRAL,KIAMBU,GITHURAI,5Q5Z,11245216,KWANGETHE SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2700,CENTRAL,KIAMBU,GITHURAI,EXMD,11245217,MWIHOKO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2714,CENTRAL,KIAMBU,KABETE,3PNC,11241008,A C K NYATHUNA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2715,CENTRAL,KIAMBU,KABETE,C84Z,11241011,ACK GIKUNI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2716,CENTRAL,KIAMBU,KABETE,FEG8,11241010,CURA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2717,CENTRAL,KIAMBU,KABETE,TKGH,11241006,GATHIGA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2718,CENTRAL,KIAMBU,KABETE,5KHM,11241005,KABETE HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,MIXED
2719,CENTRAL,KIAMBU,KABETE,ZDPW,11241012,KAHUHO UHURU HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,MIXED
2720,CENTRAL,KIAMBU,KABETE,XS59,11241004,KANYARIRI HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2721,CENTRAL,KIAMBU,KABETE,2D9J,11241007,KIBICHIKU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2722,CENTRAL,KIAMBU,KABETE,SND3,11241024,KIBIKU HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2723,CENTRAL,KIAMBU,KABETE,E3P4,11241002,KIRANGARI HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,MIXED
2724,CENTRAL,KIAMBU,KABETE,RK92,11241001,MARY LEAKEY GIRLS' HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
2725,CENTRAL,KIAMBU,KABETE,F9UK,11241013,MUGUGA WAGATONYE SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2726,CENTRAL,KIAMBU,KABETE,VW8U,11241014,P.C.E.A. KANJERU BOOTH GIRLS' HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
2727,CENTRAL,KIAMBU,KABETE,29KZ,11241016,RUNGIRI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2728,CENTRAL,KIAMBU,KABETE,68RK,11241003,ST. KEVIN'S SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2729,CENTRAL,KIAMBU,KABETE,A3U7,11241015,UTHIRU GIRLS HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
2730,CENTRAL,KIAMBU,KABETE,5BSW,11241029,WANGIGE HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2731,CENTRAL,KIAMBU,KIAMBAA,KQV9,11240115,ACK KARURA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2732,CENTRAL,KIAMBU,KIAMBAA,APJH,11240109,CIANDA HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2733,CENTRAL,KIAMBU,KIAMBAA,8EPU,11240104,GACHARAGE HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2734,CENTRAL,KIAMBU,KIAMBAA,927L,11240108,GACHIE HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2735,CENTRAL,KIAMBU,KIAMBAA,ARSX,11240101,KARURI HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2736,CENTRAL,KIAMBU,KIAMBAA,C2U4,11240125,KAWAIDA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2737,CENTRAL,KIAMBU,KIAMBAA,DGSP,11240121,KIAMBAA MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2738,CENTRAL,KIAMBU,KIAMBAA,RGXX,11240102,KIHARA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2739,CENTRAL,KIAMBU,KIAMBAA,LKL2,11240124,MUCHATHA HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2740,CENTRAL,KIAMBU,KIAMBAA,8ZYM,11240112,MUONGOIYA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2741,CENTRAL,KIAMBU,KIAMBAA,GMUJ,11240107,MUTHURWA SECONDARY SCHOOL,C2,PUBLIC,NONE,DAY,MIXED
2742,CENTRAL,KIAMBU,KIAMBAA,CPV8,11240106,SENIOR CHIEF KOINANGE GIRLS HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
2743,CENTRAL,KIAMBU,KIAMBAA,W9JE,11240103,ST JOSEPH HIGH SCHOOL - GATHANGA,C4,PUBLIC,NONE,BOARDING,MIXED
2744,CENTRAL,KIAMBU,KIAMBAA,Z6H8,11240120,ST. ANDREWS NDENDERU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2745,CENTRAL,KIAMBU,KIAMBAA,Y3S2,11240110,ST. ANGELAS GIRLS HIGH SCHOOL KARURA,C3,PUBLIC,NONE,BOARDING,GIRLS
2746,CENTRAL,KIAMBU,KIAMBAA,7N4J,11240116,THIMBIGUA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2747,CENTRAL,KIAMBU,KIAMBU,JQX3,11205021,ACK KIU RIVER SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2748,CENTRAL,KIAMBU,KIAMBU,A5VF,11205022,H.G.M. TING'ANG'A SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2749,CENTRAL,KIAMBU,KIAMBU,W3S7,11205101,KANUNGA HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,MIXED
2750,CENTRAL,KIAMBU,KIAMBU,TXVJ,11205023,KASARINI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2751,CENTRAL,KIAMBU,KIAMBU,6ST4,11205204,KIAMBU HIGH SCHOOL,C1,PUBLIC,NONE,BOARDING,MIXED
2752,CENTRAL,KIAMBU,KIAMBU,YPM8,11205207,KIAMBU TOWNSHIP SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2753,CENTRAL,KIAMBU,KIAMBU,SWV7,11205108,LORETO GIRLS HIGH SCHOOL KIAMBU,C2,PUBLIC,NONE,BOARDING,GIRLS
2754,CENTRAL,KIAMBU,KIAMBU,HFVS,11205205,NDUMBERI GIRLS SECONDARY SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
2755,CENTRAL,KIAMBU,KIAMBU,7RY8,11205206,RIABAI HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,MIXED
2756,CENTRAL,KIAMBU,KIAMBU,ZR4Y,11205203,RIARA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2758,CENTRAL,KIAMBU,KIAMBU,PSRL,11205201,ST. ANNE'S SECONDARY SCHOOL-LIOKI,C1,PUBLIC,NONE,DAY,MIXED
2759,CENTRAL,KIAMBU,KIAMBU,TXHU,11205019,ST. JOSEPH RIABAI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2760,CENTRAL,KIAMBU,KIAMBU,F4DM,11205215,ST. PETERS HIGH SCHOOL NDUMBERI,C4,PUBLIC,NONE,BOARDING,MIXED
2761,CENTRAL,KIAMBU,KIAMBU,TV22,11205202,TING'ANG'A SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2762,CENTRAL,KIAMBU,KIKUYU,C8FX,11200002,ALLIANCE GIRLS' HIGH SCHOOL,C1,PUBLIC,NONE,BOARDING,GIRLS
2763,CENTRAL,KIAMBU,KIKUYU,RVPP,11200001,ALLIANCE HIGH SCHOOL,C1,PUBLIC,NONE,BOARDING,MIXED
2764,CENTRAL,KIAMBU,KIKUYU,W2PY,11230209,FR. KEVIN KELLY HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2765,CENTRAL,KIAMBU,KIKUYU,9TUW,11230203,GICHURU MEMORIAL HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2766,CENTRAL,KIAMBU,KIKUYU,789P,11230421,HGM KINOO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2767,CENTRAL,KIAMBU,KIKUYU,QBSV,11230213,KAMANGU HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2768,CENTRAL,KIAMBU,KIKUYU,CFDG,11230301,KANYANJARA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2769,CENTRAL,KIAMBU,KIKUYU,PQBA,11230201,KARAI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2770,CENTRAL,KIAMBU,KIKUYU,KH3N,11230304,KERWA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2771,CENTRAL,KIAMBU,KIKUYU,864K,11230315,KIKUYU BOYS HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,BOYS
2772,CENTRAL,KIAMBU,KIKUYU,EJU8,11230401,KIKUYU DAY SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
2773,CENTRAL,KIAMBU,KIKUYU,CK3U,11230211,LUSIGETTI SENIOR HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2774,CENTRAL,KIAMBU,KIKUYU,R8MD,11230420,MAMA NGINA SENIOR HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2775,CENTRAL,KIAMBU,KIKUYU,UV32,11230202,MOI GIRLS SECONDARY SCHOOL KAMANGU,C2,PUBLIC,NONE,BOARDING,GIRLS
2776,CENTRAL,KIAMBU,KIKUYU,JKDN,11230403,MUHU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2777,CENTRAL,KIAMBU,KIKUYU,XXVM,11230406,MUSA GITAU SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
2778,CENTRAL,KIAMBU,KIKUYU,H3XK,11230210,NACHU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2779,CENTRAL,KIAMBU,KIKUYU,HVLM,11230312,NDERI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2780,CENTRAL,KIAMBU,KIKUYU,67PR,11230207,P.C.E.A MAI-A- IHII HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2781,CENTRAL,KIAMBU,KIKUYU,YN3Y,11230206,PCEA MAI A IHII BOOTH,C4,PUBLIC,NONE,DAY,MIXED
2782,CENTRAL,KIAMBU,KIKUYU,TPGF,11230204,RENGUTI HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2824,CENTRAL,KIAMBU,LIMURU,MHDY,11211336,BIBIRIONI HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2825,CENTRAL,KIAMBU,LIMURU,5AV9,11211306,GICHURU HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2826,CENTRAL,KIAMBU,LIMURU,SLU7,11211313,KAMANDURA GIRLS HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
2827,CENTRAL,KIAMBU,LIMURU,8R2Y,11211351,KAMIRITHU SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2828,CENTRAL,KIAMBU,LIMURU,ZQUK,11211302,KINYOGORI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2829,CENTRAL,KIAMBU,LIMURU,VJHU,11200004,LIMURU GIRLS' SCHOOL,C1,PUBLIC,NONE,BOARDING,GIRLS
2830,CENTRAL,KIAMBU,LIMURU,GATC,11200005,LORETO HIGH SCHOOL LIMURU,C1,PUBLIC,NONE,BOARDING,MIXED
2831,CENTRAL,KIAMBU,LIMURU,2DY5,11211304,MANGUO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2832,CENTRAL,KIAMBU,LIMURU,C2KC,11211350,MUNA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2833,CENTRAL,KIAMBU,LIMURU,TCPD,11211339,NGECHA GIRLS HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,GIRLS
2834,CENTRAL,KIAMBU,LIMURU,P2UL,11211301,NGENIA HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,MIXED
2835,CENTRAL,KIAMBU,LIMURU,PXCA,11211345,NYANJEGA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2836,CENTRAL,KIAMBU,LIMURU,KTP2,11211303,OUR LADY OF MERCY NGARARIGA GIRLS SECONDARY SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
2837,CENTRAL,KIAMBU,LIMURU,CRNK,11211316,RIRONI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2838,CENTRAL,KIAMBU,LIMURU,AAZ6,11211311,TIGONI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2839,CENTRAL,KIAMBU,LIMURU,M3ZZ,11211352,UMOJA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2840,CENTRAL,KIAMBU,NDEIYA,HCV5,11246109,GATUURA SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2841,CENTRAL,KIAMBU,NDEIYA,6XVA,11246106,MAKUTANO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2842,CENTRAL,KIAMBU,NDEIYA,7HEP,11246108,MUKOMA HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
2843,CENTRAL,KIAMBU,NDEIYA,GKZJ,11246104,NDUNG'U GIRLS SECONDARY SCHOOL,C4,PUBLIC,NONE,BOARDING,GIRLS
2844,CENTRAL,KIAMBU,NDEIYA,CZSC,11246107,NDUNG'U NJENGA BOYS SECONDARY SCHOOL,C4,PUBLIC,NONE,BOARDING,BOYS
2845,CENTRAL,KIAMBU,NDEIYA,GL5S,11246105,NGUIRUBI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2846,CENTRAL,KIAMBU,NDEIYA,SCDE,11246103,ST. MARY'S GIRLS - THIGIO,C3,PUBLIC,NONE,BOARDING,GIRLS
2847,CENTRAL,KIAMBU,NDEIYA,LFXJ,11246102,THE SACRED HEART GIRLS' SECONDARY SCHOOL- MIRITHU,C3,PUBLIC,NONE,BOARDING,GIRLS
2848,CENTRAL,KIAMBU,NDEIYA,6TEX,11246101,THIGIO BOYS SECONDARY SCHOOL,C3,PUBLIC,NONE,BOARDING,BOYS
2882,COAST,KILIFI,CHONYI,2BJV,4129207,BUNDACHO,C4,PUBLIC,NONE,DAY,MIXED
2883,COAST,KILIFI,CHONYI,3AV6,4129211,BUNGU,C4,PUBLIC,NONE,DAY,MIXED
2884,COAST,KILIFI,CHONYI,K7YL,4129205,CHASIMBA,C4,PUBLIC,NONE,DAY,MIXED
2885,COAST,KILIFI,CHONYI,95FF,4129206,DINDIRI,C4,PUBLIC,NONE,DAY,MIXED
2886,COAST,KILIFI,CHONYI,UBAG,4129203,DZITSONI,C3,PUBLIC,NONE,DAY,MIXED
2887,COAST,KILIFI,CHONYI,CARE,4129209,KATIKIRIENI,C4,PUBLIC,NONE,DAY,MIXED
2888,COAST,KILIFI,CHONYI,REUG,4129201,LUTSANGANI,C2,PUBLIC,NONE,DAY,MIXED
2889,COAST,KILIFI,CHONYI,VPZA,4129210,MBUYUNI,C4,PUBLIC,NONE,DAY,MIXED
2890,COAST,KILIFI,CHONYI,7JGR,4129208,MWARAKAYA,C4,PUBLIC,NONE,DAY,MIXED
2891,COAST,KILIFI,CHONYI,4L8Z,4129212,NGOMBENI,C3,PUBLIC,NONE,DAY,MIXED
2892,COAST,KILIFI,CHONYI,3WWP,4129204,PAUL HARIS,C4,PUBLIC,NONE,DAY,MIXED
2893,COAST,KILIFI,CHONYI,JR2Z,4129109,PINGILIKANI,C4,PUBLIC,NONE,DAY,MIXED
2894,COAST,KILIFI,CHONYI,8M23,4129202,ST TERESAS,C3,PUBLIC,NONE,DAY,MIXED
2924,COAST,KILIFI,KALOLENI,NZX4,4111105,CHANAGANDE,C3,PUBLIC,NONE,DAY,MIXED
2925,COAST,KILIFI,KALOLENI,UW56,4111123,KALOLENI GIRLS',C3,PUBLIC,NONE,BOARDING,GIRLS
2926,COAST,KILIFI,KALOLENI,S93P,4111019,KINANI,C4,PUBLIC,NONE,DAY,MIXED
2927,COAST,KILIFI,KALOLENI,EU3G,4111113,KINARANI,C4,PUBLIC,NONE,DAY,MIXED
2928,COAST,KILIFI,KALOLENI,GGWW,4111124,KIRUMBI GIRLS,C4,PUBLIC,NONE,BOARDING,GIRLS
2929,COAST,KILIFI,KALOLENI,CQ3N,4111106,KIZURINI,C4,PUBLIC,NONE,DAY,MIXED
2930,COAST,KILIFI,KALOLENI,KKG4,4111104,MAANDANI,C4,PUBLIC,NONE,DAY,MIXED
2931,COAST,KILIFI,KALOLENI,BRGX,4111122,MAKOMBOANI,C4,PUBLIC,NONE,DAY,MIXED
2932,COAST,KILIFI,KALOLENI,QQMA,4111103,MARIAKANI,C3,PUBLIC,NONE,DAY,MIXED
2933,COAST,KILIFI,KALOLENI,J6FU,4111120,MIGUNDINI,C4,PUBLIC,NONE,DAY,MIXED
2934,COAST,KILIFI,KALOLENI,KSLK,4111011,MIYANI,C4,PUBLIC,NONE,DAY,MIXED
2935,COAST,KILIFI,KALOLENI,ZSZ2,4111121,MNAZIM'MWENGA,C4,PUBLIC,NONE,DAY,MIXED
2936,COAST,KILIFI,KALOLENI,7GK7,4111108,MOI KADZONZO GIRLS,C2,PUBLIC,NONE,BOARDING,GIRLS
2937,COAST,KILIFI,KALOLENI,WQLY,4111119,MUTSENGO,C4,PUBLIC,NONE,DAY,MIXED
2938,COAST,KILIFI,KALOLENI,XBJH,4111117,MWARENI SEC.,C4,PUBLIC,NONE,DAY,MIXED
2939,COAST,KILIFI,KALOLENI,KCT2,4111118,MWIJO,C4,PUBLIC,NONE,DAY,MIXED
2940,COAST,KILIFI,KALOLENI,T5YQ,4111107,NGALA MEMORIAL,C3,PUBLIC,NONE,DAY,MIXED
2941,COAST,KILIFI,KALOLENI,7A22,4111125,SHANGIA SEC. SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
2942,COAST,KILIFI,KALOLENI,33DL,4111102,ST. JOHNS GIRLS,C2,PUBLIC,NONE,BOARDING,GIRLS
2943,COAST,KILIFI,KALOLENI,9TYC,4111101,ST.GEORGES HIGH,C2,PUBLIC,NONE,DAY,MIXED
2944,COAST,KILIFI,KALOLENI,5JNT,4111116,TSAGWA SEC,C4,PUBLIC,NONE,DAY,MIXED
2945,COAST,KILIFI,KALOLENI,KFXU,4111112,TSANGATSINI,C4,PUBLIC,NONE,DAY,MIXED
2946,COAST,KILIFI,KALOLENI,QD2A,41111013,VUGA,C4,PUBLIC,NONE,DAY,MIXED
2987,COAST,KILIFI,KILIFI,SOUTH,5977,4125102 TAKAUNGU,C4,PUBLIC,NONE,DAY,MIXED
2989,COAST,KILIFI,MAGARINI,CKQA,4911218,A.J KINGI,C4,PUBLIC,NONE,DAY,MIXED
2990,COAST,KILIFI,MAGARINI,M3B3,4119203,ADU,C4,PUBLIC,NONE,DAY,MIXED
2991,COAST,KILIFI,MAGARINI,Z7S2,4119212,BARICHO,C4,PUBLIC,NONE,DAY,MIXED
2992,COAST,KILIFI,MAGARINI,NNUN,4119213,BURANGI,C4,PUBLIC,NONE,DAY,MIXED
2993,COAST,KILIFI,MAGARINI,QPAF,4119211,DAGAMRA,C4,PUBLIC,NONE,DAY,MIXED
2994,COAST,KILIFI,MAGARINI,Q7JE,4119109,FUNDI-ISSA,C4,PUBLIC,NONE,DAY,MIXED
2995,COAST,KILIFI,MAGARINI,RMD6,4119101,GALANA BOYS,C3,PUBLIC,NONE,BOARDING,BOYS
2996,COAST,KILIFI,MAGARINI,Z43L,4119214,GALANA GIRLS,C4,PUBLIC,NONE,BOARDING,GIRLS
2997,COAST,KILIFI,MAGARINI,FBYT,4119205,GARASHI,C4,PUBLIC,NONE,DAY,MIXED
2998,COAST,KILIFI,MAGARINI,248H,4119112,KAEMBENI,C4,PUBLIC,NONE,DAY,MIXED
2999,COAST,KILIFI,MAGARINI,5RFV,4119217,KAGOMBANI,C4,PUBLIC,NONE,DAY,MIXED
3000,COAST,KILIFI,MAGARINI,ZCKP,4119121,KURAWA,C4,PUBLIC,NONE,DAY,MIXED
3001,COAST,KILIFI,MAGARINI,K3YY,4119202,MAGARINI GIRLS SEC SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
3002,COAST,KILIFI,MAGARINI,4N4C,4119110,MAGARINI HILL,C4,PUBLIC,NONE,DAY,MIXED
