S_No,REGION,COUNTY,SUB_COUNTY,UIC,KNEC,SCHOOL_NAME,CLUSTER,TYPE,DISABILITY_TYPE,ACCOMMODATION_TYPE,GENDER
32,RIFT VALLEY,BARINGO,BARINGO CENTRAL,KHM8,33517222,RIWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
33,RIFT VALLEY,BARINGO,BARINGO CENTRAL,FMQL,33517106,SANGARAU GIRLS SECONDARY SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
34,RIFT VALLEY,BARINGO,BARINGO CENTRAL,75LB,33517228,SENETWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
35,RIFT VALLEY,BARINGO,BARINGO CENTRAL,XLBX,33517217,SERETUNIN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
36,RIFT VALLEY,BARINGO,BARINGO CENTRAL,D5JH,33517231,SOROK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
37,RIFT VALLEY,BARINGO,BARINGO CENTRAL,YQ8Z,33517107,ST. MARY'S TENGES DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
38,RIFT VALLEY,BARINGO,BARINGO CENTRAL,RWU6,33517104,TABAGON GIRLS' SECONDARY SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
39,RIFT VALLEY,BARINGO,BARINGO CENTRAL,CLM9,33517204,TALAI SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
40,RIFT VALLEY,BARINGO,BARINGO CENTRAL,5YKJ,33517232,TEBEI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
41,RIFT VALLEY,BARINGO,BARINGO CENTRAL,L7A6,33517101,TENGES SECONDARY SCHOOL,C2,PUBLIC,NONE,DAY,MIXED
42,RIFT VALLEY,BARINGO,BARINGO CENTRAL,5KXZ,33517105,TIMBOIYWO DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
43,RIFT VALLEY,BARINGO,BARINGO CENTRAL,4CPN,33517113,TULUONGOI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
77,RIFT VALLEY,BARINGO,KOIBATEK,C2X6,33521112,ARAMA HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
78,RIFT VALLEY,BARINGO,KOIBATEK,HLWY,33500018,BARINGO BOYS HIGH SCHOOL,C1,PUBLIC,NONE,BOARDING,BOYS
79,RIFT VALLEY,BARINGO,KOIBATEK,BNQK,33521116,BENONIN SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
80,RIFT VALLEY,BARINGO,KOIBATEK,S794,33521113,BHAKITA MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
81,RIFT VALLEY,BARINGO,KOIBATEK,99LH,33521102,KABIMOI HIGH SCHOOL,C2,PUBLIC,NONE,BOARDING,MIXED
82,RIFT VALLEY,BARINGO,KOIBATEK,3V3X,33521127,KABIMOI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
83,RIFT VALLEY,BARINGO,KOIBATEK,PJTA,33521114,KAMELILO DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
