Serial_No,School_Code,School_Name,Category,Type,Cluster
105,03108115,THE SALVATION ARMY LIKONI HIGH FOR THE VISUALLY IM,National,Mixed,CS
106,03126103,M.S.S FOR THE PHYSICALLY HANDICAPPED,National,Boys,CS
107,04102116,PWANI SECONDARY/VOCATIONAL SCHOOL FOR THE DEAF,National,Mixed,CS
108,04125131,SAHAJANAND SPECIAL SCHOOL-CENTRE OF EXCELLENCE,National,Mixed,CS
109,08219116,REV. MUHORO SCHOOL FOR THE DEAF,National,Mixed,CS
111,11207105,S.A. JOYTOWN SECONDARY SCHOOL FOR PH,National,Mixed,CS
112,11207106,S.A. HIGH SCHOOL FOR THE BLIND,National,Mixed,CS
113,11232113,PCEA KAMBUI SCHOOL FOR HEARING IMPAIRED,National,Mixed,CS
114,12301796,MACHAKOS SECONDARY SCHOOL FOR THE DEAF,National,Mixed,CS
115,14312122,ACK MARY MAGDALENE HIGH SCHOOL FOR THE DEAF,National,Mixed,CS
116,15319324,ST. LUCY'S HIGH SCHOOL FOR THE VISUALLY IMPAIRED,National,Mixed,CS
117,20407056,KASARANI TREESIDE SECONDARY SCHOOL FOR THE DEAF,National,Mixed,CS
118,24505117,ST. FRANCIS SECONDARY SCHOOL FOR THE VISUALLY IMPA,National,Mixed,CS
119,25533120,ST. KIZITO SECONDARY SCHOOL FOR THE HEARING IMPAIR,National,Girls,CS
120,27511533,NGALA SECONDARY SCHOOL FOR THE DEAF,National,Mixed,CS
121,28522542,ST.PAUL'S CHARERA SPECIAL HIGH SCHOOL,National,Mixed,CS
122,28571104,KEDOWA SPECIAL SECONDARY SCHOOL,National,Mixed,CS
123,29513104,KAPSABET SECONDARY SCHOOL FOR THE DEAF,National,Mixed,CS
124,35620109,ST. BRIDGIT AKOREET SECONDARY AND VOCATIONAL TRAIN,National,Mixed,CS
125,36612116,NALONDO CBM SECONDARY FOR PHYSICALLY HANDCAPPED,National,Mixed,CS
126,36628147,JOYVALLEY S.A SPECIAL SECONDARY SCHOOLFOR P.H,National,Mixed,CS
127,37617206,ST. ANGELA MUMIAS VOCATIONAL SCHOOL FOR DEAF,National,Girls,CS
128,37625123,ACK EMATUNDU BOYS SECONDARY/VOCATIONAL SCHOOL,National,Boys,CS
129,38633221,ST. CLARE EBUKUYA SECONDARY SCHOOL FOR HEARING IMP,National,Mixed,CS
130,39733224,ST. GEORGE SPECIAL SECONDARY SCHOOL,National,Mixed,CS
131,39734313,KIBOS VISUALLY IMPARED SECONDARY,National,Mixed,CS
132,39741015,JOYLAND SPECIAL SECONDARY SCHOOL,National,Mixed,CS
133,40703418,GIANCHERE FRIENDS SEC/VOC FOR THE HEARING IMPAIRED,National,Mixed,CS
134,42712113,NICO HAUSER SPECIAL SCHOOL FOR THE VISUALLY IMPAIR,National,Mixed,CS
135,42712208,FR. OUDERAA SEC. SCHOOL FOR THE HEARING IMPAIRED,National,Mixed,CS
136,44717106,KUJA SPECIAL SCHOOL FOR THE DEAF,National,Mixed,CS
137,46802016,WAJIR SPECIAL SECONDARY FOR THE DEAF,National,Mixed,CS
139,01101201,ST. MARY'S HIGH SCHOOL LUSHANGONYI,Extra County,Boys,C1
140,01114102,MURRAY GIRLS' HIGH SCHOOL,Extra County,Girls,C1
141,01114301,MWASERE GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
142,01115101,VOI SECONDARY SCHOOL,Extra County,Boys,C1
143,02127102,MAZERAS HIGH SCHOOL,Extra County,Boys,C1
144,04107101,MALINDI HIGH SCHOOL,Extra County,Boys,C1
145,04122103,KOMBENI GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
146,04122105,RIBE GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
147,04129201,LUTSANGANI BOYS SECONDARY SCHOOL,Extra County,Boys,C1
148,06130101,LAMU BOYS SECONDARY SCHOOL,Extra County,Boys,C1
149,07214101,NYAHURURU HIGH SCHOOL,Extra County,Boys,C1
150,07215202,WANJOHI SECONDARY SCHOOL,Extra County,Girls,C1
151,07216101,NJABINI BOYS HIGH SCHOOL,Extra County,Boys,C1
152,07216108,MT KINANGOP GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
153,08202001,NYERI HIGH SCHOOL,Extra County,Boys,C1
154,08202007,GIAKANJA SECONDARY SCHOOL,Extra County,Boys,C1
155,08210201,NAROMORU GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
156,08217101,KANJURI HIGH SCHOOL,Extra County,Boys,C1
157,08217202,KIRIMARA HIGH SCHOOL,Extra County,Boys,C1
158,08218102,TUMUTUMU GIRLS' HIGH SCHOOL,Extra County,Girls,C1
159,08219101,SOUTH TETU GIRLS' HIGH SCHOOL,Extra County,Girls,C1
160,08219103,"ST BONAVENTURE,KAHETI BOYS HIGH SCHOOL",Extra County,Boys,C1
161,08220301,ST. BAKHITA GATARAGWA GIRLS HIGH SCHOOL,Extra County,Girls,C1
162,08221301,KANGUBIRI GIRLS HIGH SCHOOL,Extra County,Girls,C1
163,08237001,KARIMA BOYS' HIGH SCHOOL,Extra County,Boys,C1
164,08237002,OUR LADY OF FATIMA CHINGA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
166,08237004,CHINGA BOYS HIGH SCHOOL,Extra County,Boys,C1
167,08237005,OTHAYA BOYS HIGH SCHOOL,Extra County,Boys,C1
168,08237009,OTHAYA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
169,08237012,MAHIGA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
170,09203401,KERUGOYA BOYS HIGH SCHOOL,Extra County,Boys,C1
171,09203402,KERUGOYA GIRLS HIGH SCHOOL,Extra County,Girls,C1
172,09203403,KAMUIRU SECONDARY SCHOOL,Extra County,Boys,C1
173,09203405,MUTIRA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
174,09222201,KIANYAGA HIGH SCHOOL,Extra County,Boys,C1
175,09222204,ST. BAKHITA KIBURIA GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
176,09222301,NGIRIAMBU GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
177,09222303,KIAMUTUGU BOYS HIGH SCHOOL,Extra County,Boys,C1
178,09224201,KAROTI GIRLS HIGH SCHOOL,Extra County,Girls,C1
179,10204102,MUMBI GIRLS' HIGH SCHOOL,Extra County,Girls,C1
180,10208201,KAMAHUHA GIRLS HIGH SCHOOL,Extra County,Girls,C1
181,10226201,GITHUMU HIGH SCHOOL,Extra County,Boys,C1
182,10226210,NG'ARARIA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
183,10226211,NAARO HIGH SCHOOL,Extra County,Mixed,C1
184,10226216,GAICHANJIRU HIGH SCHOOL,Extra County,Boys,C1
185,10226217,GITHUNGURI GIRLS HIGH SCHOOL,Extra County,Girls,C1
186,10226227,RUCHU GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
187,10227301,NJIIRI SCHOOL,Extra County,Boys,C1
188,10228101,NJUMBI HIGH SCHOOL,Extra County,Boys,C1
189,10228301,GITUGI GIRLS HIGH SCHOOL,Extra County,Girls,C1
190,10228401,KIRIA-INI GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
191,10229101,KANGEMA HIGH SCHOOL,Extra County,Boys,C1
192,10234401,GATANGA GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
194,10238101,KAHUHIA GIRLS' HIGH SCHOOL,Extra County,Girls,C1
195,10238103,WEITHAGA BOYS SECONDARY,Extra County,Boys,C1
196,10238114,KIAGUTHU BOYS SECONDARY SCHOOL,Extra County,Boys,C1
197,11205101,KANUNGA HIGH SCHOOL,Extra County,Boys,C1
198,11205108,LORETO GIRLS HIGH SCHOOL KIAMBU,Extra County,Girls,C1
199,11205201,ST. ANNE'S SECONDARY SCHOOL-LIOKI,Extra County,Girls,C1
200,11205204,KIAMBU HIGH SCHOOL,Extra County,Boys,C1
201,11207101,THIKA HIGH SCHOOL,Extra County,Boys,C1
202,11207102,CHANIA BOYS' HIGH SCHOOL,Extra County,Boys,C1
203,11207108,CHANIA GIRLS' HIGH SCHOOL,Extra County,Girls,C1
204,11212101,MUHOHO HIGH,Extra County,Boys,C1
205,11231102,PRECIOUS BLOOD KAGWE GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
206,11231207,KIJABE BOYS HIGH SCHOOL,Extra County,Boys,C1
207,11231208,KIJABE GIRLS HIGH SCHOOL,Extra County,Girls,C1
208,11236101,ST.FRANCIS GIRLS HIGH SCHOOL (MANG'U),Extra County,Girls,C1
209,11240106,SENIOR CHIEF KOINANGE GIRLS HIGH SCHOOL,Extra County,Girls,C1
210,11241001,MARY LEAKEY GIRLS' HIGH SCHOOL,Extra County,Girls,C1
211,12301702,MACHAKOS GIRLS' HIGH SCHOOL,Extra County,Girls,C1
212,12301703,MUMBUNI HIGH SCHOOL,Extra County,Boys,C1
213,12301734,MUMBUNI GIRLS' SCHOOL,Extra County,Girls,C1
214,12314103,MUTHETHENI GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
215,12314106,VYULYA GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
216,12314201,KABAA HIGH SCHOOL,Extra County,Boys,C1
217,12316101,KANGUNDO HIGH SCHOOL,Extra County,Boys,C1
218,12316104,ST. FRANCIS MISYANI GIRLS HIGH SCHOOL,Extra County,Girls,C1
219,12343301,MASINGA BOYS SECONDARY SCHOOL,Extra County,Boys,C1
220,12343302,ST. JOSEPHINE BAKHITA MASINGA GIRLS' HIGH SCHOOL,Extra County,Girls,C1
222,12345508,TALA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
223,13302102,ST CHARLES LWANGA SCHOOL,Extra County,Boys,C1
224,13302103,ST. ANGELA'S GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
225,13302108,ST.MONICA GIRLS MULUTU SECONDARY SCHOOL,Extra County,Girls,C1
226,13310102,MWINGI SECONDARY SCHOOL,Extra County,Boys,C1
227,13317101,MUTOMO GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
228,13328101,KYUSO SECONDARY SCHOOL,Extra County,Boys,C1
229,13331201,MUTONGUNI SECONDARY SCHOOL,Extra County,Boys,C1
230,13331205,KYONDONI GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
231,13339102,MIGWANI SECONDARY SCHOOL,Extra County,Boys,C1
232,13339107,KYAMBOO SECONDARY SCHOOL,Extra County,Mixed,C1
233,13339204,THITANI SECONDARY SCHOOL,Extra County,Girls,C1
234,13344101,ST LUKES YATTA SECONDARY SCHOOL,Extra County,Boys,C1
235,13351102,CHULUNI GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
236,13353201,MULANGO GIRLS HIGH SCHOOL,Extra County,Girls,C1
237,13353301,MALIKU GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
238,13354101,KISASI SECONDARY SCHOOL,Extra County,Boys,C1
239,13354201,MBITINI GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
240,13357101,IKUTHA BOYS SECONDARY SCHOOL,Extra County,Boys,C1
241,13360101,MATINYANI SECONDARY SCHOOL,Extra County,Boys,C1
242,14303101,KANGARU SCHOOL,Extra County,Boys,C1
243,14303104,KANGARU GIRLS SCHOOL,Extra County,Girls,C1
244,14303201,ST PAUL'S HIGH SCHOOL KEVOTE,Extra County,Boys,C1
245,14303203,ST TERESA'S GIRLS' - KITHIMU,Extra County,Girls,C1
246,14312101,SIAKAGO BOYS HIGH SCHOOL,Extra County,Boys,C1
247,14333102,ST. CATHERINE NTHAGAIYA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
248,14333201,KYENI GIRLS' HIGH SCHOOL,Extra County,Girls,C1
250,14341201,NYANGWA BOYS' HIGH SCHOOL,Extra County,Boys,C1
251,14355101,"KING DAVID BOYS HIGH SCHOOL, KAMAMA",Extra County,Boys,C1
252,14355102,KIRIARI GIRLS HIGH SCHOOL,Extra County,Girls,C1
253,14355201,NGUVIU BOYS HIGH SCHOOL,Extra County,Boys,C1
254,14355202,NGUVIU GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
