Serial_No,School_Code,School_Name,Category,Type,Cluster
2729,08220112,MWIRERI SECONDARY SCHOOL,Sub County,Mixed,
2730,08220203,CHARITY SECONDARY SCHOOL,Sub County,Mixed,
2731,08220205,OBSERVATION HILL MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2732,08220206,ENDARASHA D M SECONDARY SCHOOL,Sub County,Mixed,
2733,08220207,GAKANGA SECONDARY SCHOOL,Sub County,Mixed,
2734,08220208,ST. ANTHONY OF PADUA PURA SECONDARY SCHOOL,Sub County,Mixed,
2735,08220209,2 0S2T0. PKACUPLE KSEINCYOANITDI ASREYC OSCNHDOAORLY CSHCOHIOCOESL LIST,Sub County,Mixed,
2736,08220210,ST.MONICA GITEGI SECONDARY SCHOOL,Sub County,Mixed,
2737,08220302,ST GEORGE GATARAGWA SECONDARY SCHOOL,Sub County,Mixed,
2738,08220303,ST. AUGUSTINE EMBARINGO SECONDARY SCHOOL,Sub County,Mixed,
2739,08220305,LAMURIA SECONDARY SCHOOL,Sub County,Mixed,
2740,08220306,KIMUNYURU SECONDARY SCHOOL,Sub County,Mixed,
2741,08220307,KIARAGANA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2742,08220308,BELLEVUE SECONDARY SCHOOL,Sub County,Mixed,
2743,08220402,KARIMENO MIXED SECONDARY SCHOOL,Sub County,Mixed,
2744,08220403,ST JUDE MUGUNDA SECONDARY SCHOOL,Sub County,Mixed,
2745,08220404,KIMURI SECONDARY SCHOOL,Sub County,Mixed,
2746,08220405,ST. REGINA NAIRUTIA SECONDARY SCHOOL,Sub County,Mixed,
2747,08220406,ST. THOMAS RUIRII SECONDARY SCHOOL,Sub County,Mixed,
2748,08221101,KIANDU SECONDARY SCHOOL,Sub County,Mixed,
2749,08221102,MATHAKWAINI SECONDARY SCHOOL,Sub County,Mixed,
2750,08221104,GACHATHA SECONDARY SCHOOL,Sub County,Mixed,
2751,08221105,WANDUMBI SECONDARY SCHOOL,Sub County,Mixed,
2752,08221106,IHITHE TEC SECONDARY SCHOOL,Sub County,Mixed,
2753,08221108,KARANGIA SECONDARY SCHOOL,Sub County,Mixed,
2754,08221109,ST.JOSEPH WAMAGANA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2755,08221111,ST MARY KARIGUINI SECONDARY SCHOOL,Sub County,Mixed,
2756,08221112,KAIGURI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2757,08221113,GATHUTHI SECONDARY SCHOOL,Sub County,Mixed,
2758,08221202,KIRITI SECONDARY SCHOOL,Sub County,Mixed,
2759,08221203,ST PAULS GITHAKWA SECONDARY SCHOOL,Sub County,Mixed,
2760,08221204,MUHOYA HIGH SCHOOL,Sub County,Mixed,
2761,08221207,NGOORU SECONDARY SCHOOL,Sub County,Mixed,
2762,08221208,NJOGU-INI SECONDARY SCHOOL,Sub County,Mixed,
2763,08221209,2 0K2A0N KJOCPREA SSEECCOONNDDAARRYY S SCCHHOOOOLL CHOICES LIST,Sub County,Mixed,
2764,08221210,GAKERE SECONDARY SCHOOL,Sub County,Mixed,
2765,08221303,GAAKI SECONDARY SCHOOL,Sub County,Mixed,
2766,08221304,F.T NYAMMO SECONDARY SCHOOL,Sub County,Mixed,
2767,08221305,ITHEKAHUNO SECONDARY SCHOOL,Sub County,Mixed,
2768,08221306,KAIGONDE SECONDARY SCHOOL,Sub County,Mixed,
2769,08221307,GICHIRA SECONDARY SCHOOL,Sub County,Mixed,
2770,08221308,KIAWAITHANJI SECONDARY SCHOOL,Sub County,Mixed,
2771,08221309,MUTATHI-INI SECONDARY SCHOOL,Sub County,Mixed,
2772,08221310,GITITU DAY MIXED SECONDARY SCHOOL,Sub County,Mixed,
2773,08237006,KIAGUTHU SECONDARY SCHOOL,Sub County,Mixed,
2774,08237007,MUNYANGE SECONDARY SCHOOL,Sub County,Mixed,
2775,08237008,KIAMUYA SECONDARY SCHOOL,Sub County,Mixed,
2776,08237013,KARIKO SECONDARY SCHOOL,Sub County,Mixed,
2777,08237014,KAIRUTHI SECONDARY SCHOOL,Sub County,Mixed,
2778,08237015,GATHERA SECONDARY SCHOOL,Sub County,Mixed,
2779,08237017,KIHOME SECONDARY SCHOOL,Sub County,Mixed,
2780,08237019,IRINDI SECONDARY SCHOOL,Sub County,Mixed,
2781,08237020,KAGONYE SECONDARY SCHOOL,Sub County,Mixed,
2782,08237021,WITIMA MIXED SECONDARY SCHOOL,Sub County,Mixed,
2783,08237022,IHURIRIO SECONDARY SCHOOL,Sub County,Mixed,
2784,08237023,ST. MARIA GORETTI RURUGUTI SECONDARY SCHOOL,Sub County,Mixed,
2785,08237024,PCEA GAKUYU MAHIGA SECONDARY SCHOOL,Sub County,Mixed,
2786,08237025,GATUGI MIXED SECONDARY SCHOOL,Sub County,Mixed,
2787,08237026,ST. MARY'S KARUTHI SECONDARY SCHOOL,Sub County,Mixed,
2788,08237027,MUIRUNGI SECONDARY SCHOOL,Sub County,Mixed,
2789,08237028,KIHURI SECONDARY SCHOOL,Sub County,Mixed,
2790,08237029,GITUGI MIXED SECONDARY SCHOOL,Sub County,Mixed,
2791,08237030,2 0G2A0T KHCUPMEB SI ESCEOCNODNADRAYR YSC SHCOHOOLO CLHOICES LIST,Sub County,Mixed,
2792,08237031,KIAHAGU SECONDARY SCHOOL,Sub County,Mixed,
2793,08237032,GITUNDU SECONDARY SCHOOL,Sub County,Mixed,
2794,08237033,KAGUMO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2795,08237034,MUMBU INI SECONDARY SCHOOL,Sub County,Mixed,
2796,08237035,KABEBERO SECONDARY SCHOOL,Sub County,Mixed,
2797,08237036,ST. GREGORY KARIMA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2798,09203406,GATWE MIXED SECONDARY SCHOOL,Sub County,Mixed,
2799,09203410,ST. JOHN THAITA SECONDARY SCHOOL,Sub County,Mixed,
2800,09203411,MUTUMA TRINITY SECONDARY SCHOOL,Sub County,Mixed,
2801,09203412,ST. JAMES KIARITHA SECONDARY SCHOOL,Sub County,Mixed,
2802,09203413,KIANDIERI SECONDARY SCHOOL,Sub County,Mixed,
2803,09203414,KIAMAINA SECONDARY SCHOOL,Sub County,Mixed,
2804,09203415,KARAINI SECONDARY SCHOOL,Sub County,Mixed,
2805,09203417,MUGWANDI SECONDARY SCHOOL,Sub County,Mixed,
2806,09203419,KIAMURUGA SECONDARY SCHOOL,Sub County,Mixed,
2807,09203420,GAKOIGO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2808,09203422,SACRED HEART KANGAITA SECONDARY SCHOOL,Sub County,Mixed,
2809,09203423,GATUTO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2810,09203424,MUKINDURI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2811,09203426,ST. FRANCIS WAIGIRI SECONDARY SCHOOL.,Sub County,Mixed,
2812,09203428,MUTITU SECONDARY SCHOOL,Sub County,Mixed,
2813,09203429,KIAGA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2814,09203430,KIABARIKIRI SECONDARY SCHOOL,Sub County,Mixed,
2815,09203431,ST AGATHA KANYEKINE GIRLS' SECONDARY SCHOOL,Sub County,Girls,
2816,09203432,KIARUGU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2817,09203433,GITWE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2818,09203434,KIRIGO SECONDARY SCHOOL,Sub County,Mixed,
2819,09203436,2 0C2A0N KOCNP NE JSUEMCOBIN MDUATRIRY AS CDHAOYO SLE CCHOONIDCAERS YL ISSTCHOOL,Sub County,Mixed,
2820,09203437,KERUGOYA SPRING BOARD HIGH SCHOOL,Sub County,Mixed,
2821,09203438,KIRIMUNGE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2822,09203439,GATHUTHUMA SECONDARY SCHOOL,Sub County,Mixed,
2823,09203440,ST JOSEPH KERUGOYA SECONDARY SCHOOL,Sub County,Mixed,
2824,09203441,KIAMUTUIRA SECONDARY SCHOOL,Sub County,Mixed,
2825,09203442,SPRING BOARD SENIOR SCHOOL,Sub County,Girls,
2826,09222103,KIANGUENYI SECONDARY SCHOOL,Sub County,Mixed,
2827,09222105,KIAMICIRI SECONDARY SCHOOL,Sub County,Mixed,
2828,09222106,GATUNGURU SECONDARY SCHOOL,Sub County,Mixed,
2829,09222107,RUKENYA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2830,09222109,ST.LOUIS NYAGITHUCI SECONDARY SCHOOL,Sub County,Mixed,
2831,09222110,NGUNGU SECONDARY SCHOOL,Sub County,Mixed,
2832,09222112,GATUGURA MIXED SECONDARY SCHOOL,Sub County,Mixed,
2833,09222113,KIMUNYE SECONDARY SCHOOL,Sub County,Mixed,
2834,09222203,RWAMBITI SECONDARY SCHOOL,Sub County,Mixed,
2835,09222206,KIAMWATHI SECONDARY SCHOOL,Sub County,Mixed,
2836,09222207,KAVOTE SECONDARY SCHOOL,Sub County,Mixed,
2837,09222208,MUCAGARA SECONDARY SCHOOL,Sub County,Mixed,
2838,09222210,KIANDAI SECONDARY SCHOOL,Sub County,Mixed,
2839,09222211,ST.MARY MAGDALENE GITHAGE SECONDARY SCHOOL,Sub County,Girls,
2840,09222302,GACATHA SECONDARY SCHOOL,Sub County,Mixed,
2841,09222304,GITHURE SECONDARY SCHOOL,Sub County,Mixed,
2842,09222307,ST. PAUL KARUCHO SECONDARY SCHOOL,Sub County,Mixed,
2843,09222308,NGARIAMA SECONDARY SCHOOL,Sub County,Mixed,
2844,09222309,KIANYAMBO SECONDARY SCHOOL,Sub County,Mixed,
2845,09222310,GACIONGO SECONDARY SCHOOL,Sub County,Mixed,
2846,09222311,KIAUMBUI SECONDARY SCHOOL,Sub County,Mixed,
2847,09222312,2 0K2A0N KJUCUPE M SIEXCEODN SDEACROYN SDCAHROYO SLC CHHOOOILCES LIST,Sub County,Mixed,
2848,09222313,MWANIANJAU MIXED SECONDARY SCHOOL,Sub County,Mixed,
2849,09223102,KABONGE SECONDARY SCHOOL,Sub County,Mixed,
2850,09223104,KIANGAI SECONDARY SCHOOL,Sub County,Mixed,
2851,09223107,KARIMAINI SECONDARY SCHOOL,Sub County,Mixed,
2852,09223108,NGUGU-INI SECONDARY SCHOOL,Sub County,Mixed,
2853,09223109,KIANDANGAE SECONDARY SCHOOL,Sub County,Mixed,
2854,09223110,THUMAITA WEST SECONDARY SCHOOL,Sub County,Mixed,
2855,09223111,ST. PHILLIPS BARICHO SECONDARY SCHOOL,Sub County,Mixed,
2856,09223112,MATHIA SECONDARY SCHOOL,Sub County,Mixed,
2857,09223113,MURAGARA SECONDARY SCHOOL,Sub County,Mixed,
2858,09223114,GETUYA SECONDARY SCHOOL,Sub County,Mixed,
2859,09223115,KATHAKA SECONDARY SCHOOL,Sub County,Mixed,
2860,09223116,ST. JOHN'S KIBURU SECONDARY SCHOOL,Sub County,Mixed,
2861,09223117,UPPER BARICHO MIXED SECONDARY SCHOOL,Sub County,Mixed,
2862,09223118,ST PETER'S GATHUTHIINI SECONDARY SCHOOL,Sub County,Mixed,
2863,09223119,ST. MARYS KIARAGANA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2864,09223205,KARIMA SECONDARY SCHOOL,Sub County,Mixed,
2865,09223206,SAGANA SECONDARY SCHOOL,Sub County,Mixed,
2866,09223207,KIINE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2867,09223208,KIANJEGE WEST MIXED SECONDARY SCHOOL,Sub County,Mixed,
2868,09223209,BISHOP NGORU GITHUAINI SECONDARY SCHOOL,Sub County,Mixed,
2869,09223210,MUKUI SECONDARY SCHOOL,Sub County,Mixed,
2870,09223211,KAIRI-INI SECONDARY SCHOOL,Sub County,Mixed,
2871,09223212,ST. JOHN SECONDARY SCHOOL - KINYAKIIRU,Sub County,Mixed,
2872,09223213,GAKINDU SECONDARY SCHOOL,Sub County,Mixed,
2873,09223215,GACHARU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2874,09224101,GATHIGIRIRI MIXED SECONDARY SCHOOL,Sub County,Mixed,
2875,09224102,2 0N2D0IN KDCIPREU SKEUC SOENCDOANRDYA SRCYH SOCOHLO COHLOICES LIST,Sub County,Mixed,
2876,09224103,TEBERE SECONDARY SCHOOL,Sub County,Mixed,
2877,09224105,KIARUKUNGU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2878,09224106,NGURUBANI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2879,09224107,ST.MARY'S KIUMBU SECONDARY SCHOOL,Sub County,Mixed,
2880,09224108,KIAMANYEKI SECONDARY SCHOOL,Sub County,Mixed,
2881,09224202,KANJINJI MIXED SECONDARY SCHOOL,Sub County,Mixed,
2882,09224203,MURINDUKO SECONDARY SCHOOL,Sub County,Mixed,
2883,09224205,ST PETERS DIFATHAS SECONDARY SCHOOL,Sub County,Mixed,
2884,09224206,NYANGATI SECONDARY SCHOOL,Sub County,Mixed,
2885,09224207,HABEL NYAMU SECONDARY SCHOOL,Sub County,Mixed,
2886,09224208,KITHIRITI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2887,09224209,MUMBUINI SECONDARY SCHOOL,Sub County,Mixed,
2888,09224212,KIORUGARI MIXED SECONDARY SCHOOL,Sub County,Mixed,
2889,09224213,GAKUU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2890,09224214,IKURUNGU SECONDARY SCHOOL,Sub County,Mixed,
2891,09224215,MATHANGAUTA SECONDARY SCHOOL,Sub County,Mixed,
2892,09224216,MUGAMBA CIURA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2893,09224217,URUMANDI SECONDARY SCHOOL,Sub County,Mixed,
2894,09224218,TOGONYE SECONDARY SCHOOL,Sub County,Mixed,
2895,09239101,GOOD SAMARITAN SECONDARY SCHOOL,Sub County,Mixed,
2896,09239103,RUKANGA SECONDARY SCHOOL,Sub County,Mixed,
2897,09239104,KANGAI SECONDARY SCHOOL,Sub County,Mixed,
2898,09239107,THIBA MIXED SECONDARY SCHOOL,Sub County,Mixed,
2899,09239108,NGANG'A SECONDARY SCHOOL,Sub County,Mixed,
2900,09239110,KOMBUINI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2901,09239111,NYAIKUNGU MIXED SECONDARY SCHOOL,Sub County,Mixed,
2902,09239112,HON. KIRAGU STEPHEN SECONDARY SCHOOL,Sub County,Mixed,
2903,09239113,2 0G2IT0O KOCIPNEI SSEECCOONNDDAARRYY SSCCHHOOOOLL CHOICES LIST,Sub County,Mixed,
2904,09239114,KINYAGA DAY MIXED SECONDARY SCHOOL,Sub County,Mixed,
2905,09239115,KANGURE MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2906,09239116,CIAGIINI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2907,09239118,KIRWARA SECONDARY SCHOOL,Sub County,Mixed,
2908,09239119,NGUKA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2909,09239120,GREAT ARMY SECONDARY SCHOOL,Sub County,Mixed,
2910,09239123,NYAGA MIXED SECONDARY SCHOOL,Sub County,Mixed,
2911,09239124,RURII SECONDARY SCHOOL,Sub County,Mixed,
2912,09239125,KIANDEGWA MIXED SECONDARY SCHOOL,Sub County,Mixed,
2913,09239126,MUKOU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2914,09239127,NGOTHI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
2915,10204103,MARAGI SECONDARY SCHOOL,Sub County,Mixed,
2916,10204104,GIKANDU SECONDARY SCHOOL,Sub County,Mixed,
2917,10204105,ST. JOSEPH SECONDARY SCHOOL KIANGAGE,Sub County,Mixed,
2918,10204106,ST. AUGUSTINE GIKINDU SECONDARY SCHOOL,Sub County,Mixed,
2919,10204107,MUCHUNGUCHA SECONDARY SCHOOL,Sub County,Mixed,
2920,10204108,VIDHU RAMJI ACADEMY - SECONDARY,Sub County,Mixed,
2921,10204109,MIRIRA SECONDARY SCHOOL,Sub County,Mixed,
2922,10204111,KIANGOCHI SECONDARY SCHOOL,Sub County,Mixed,
2923,10204113,KIAWAMBEU SECONDARY SCHOOL,Sub County,Mixed,
2924,10204203,GAKURWE SECONDARY SCHOOL,Sub County,Mixed,
2925,10204204,MUKURWE WA NYAGATHANGA SECONDARY SCHOOL,Sub County,Mixed,
2926,10204205,GAITHERI SECONDARY SCHOOL,Sub County,Mixed,
2927,10204206,GITHANGA MIXED SECONDARY SCHOOL,Sub County,Mixed,
2928,10204207,KIMATHI SECONDARY SCHOOL,Sub County,Mixed,
2929,10204208,MUGEKA SECONDARY SCHOOL,Sub County,Mixed,
2930,10204209,KIGETUINI SECONDARY SCHOOL,Sub County,Mixed,
2931,10204210,2 0N2Y0A KKCIHPAEI SSEECCOONNDDAARRYY S SCCHHOOOOLL CHOICES LIST,Sub County,Mixed,
2932,10204211,KIAMURI SECONDARY SCHOOL,Sub County,Mixed,
2933,10204212,RURII SECONDARY SCHOOL,Sub County,Mixed,
2934,10204213,GIATHIYA SECONDARY SCHOOL,Sub County,Mixed,
2935,10204214,KAREMA-INI SECONDARY SCHOOL,Sub County,Mixed,
2936,10204215,KIGONGO SECONDARY SCHOOL,Sub County,Mixed,
2937,10204216,ITITU SECONDARY SCHOOL,Sub County,Mixed,
2938,10204217,ST. MICHAELS GATHUKIINI SECONDARY SCHOOL,Sub County,Mixed,
2939,10204218,MWERU SECONDARY SCHOOL,Sub County,Mixed,
2940,10208102,KAMBITI SECONDARY SCHOOL,Sub County,Mixed,
2941,10208103,PETER KARIUKI SECONDARY SCHOOL,Sub County,Mixed,
2942,10208104,KIRIMIRI SECONDARY SCHOOL,Sub County,Mixed,
2943,10208105,MITHINI SECONDARY SCHOOL,Sub County,Mixed,
2944,10208106,KANGANGU SECONDARY SCHOOL,Sub County,Mixed,
2945,10208108,MUTITHI SECONDARY SCHOOL,Sub County,Mixed,
2946,10208109,KARUNG'ANGI SECONDARY SCHOOL,Sub County,Mixed,
2947,10208202,SABA SABA SECONDARY SCHOOL,Sub County,Mixed,
2948,10208203,MAGANJO SECONDARY SCHOOL,Sub County,Mixed,
2949,10208205,THAARA SECONDARY SCHOOL,Sub County,Mixed,
2950,10208206,KAHARATI SECONDARY SCHOOL,Sub County,Mixed,
2951,10208207,MARAGUA RIDGE SECONDARY SCHOOL,Sub County,Mixed,
2952,10208208,P.C.E.A NYATI GIRLS BOARDING,Sub County,Girls,
2953,10208211,KARIAINI SECONDARY SCHOOL,Sub County,Mixed,
2954,10208212,GATHUNGURURU SECONDARY SCHOOL,Sub County,Mixed,
2955,10208213,MWANGAZA SECONDARY SCHOOL,Sub County,Mixed,
2956,10208214,THANGIRA UMOJA SECONDARY SHOOL,Sub County,Mixed,
2957,10208217,DON BOSCO DAY SECONDARY SCHOOL,Sub County,Mixed,
2958,10208219,MUCHAGARA SECONDARY SCHOOL,Sub County,Mixed,
2959,10208220,2 0H2U0H KOCINPEI S SEECCOONNDDAARRYY SSCCHHOOOOLL CHOICES LIST,Sub County,Mixed,
2960,10208222,MARANJAU SECONDARY SCHOOL,Sub County,Mixed,
2961,10208223,IGIKIRO DAY SECONDARY SCHOOL,Sub County,Mixed,
2962,10208224,MIHANG'O SECONDARY SCHOOL,Sub County,Mixed,
2963,10208225,KAGAA SECONDARY SCHOOL,Sub County,Mixed,
2964,10208302,NGINDA MIXED SECONDARY SCHOOL,Sub County,Mixed,
2965,10208303,MARAGUA SECONDARY SCHOOL,Sub County,Mixed,
2966,10208304,ITAAGA SECONDARY SCHOOL,Sub County,Mixed,
2967,10208306,GATHERA SECONDARY SCHOOL,Sub County,Mixed,
2968,10208308,MUNGU-INI SECONDARY SCHOOL,Sub County,Mixed,
2969,10208309,ICHAGAKI MIXED SECONDARY SCHOOL,Sub County,Mixed,
2970,10208310,GIKOMORA SECONDARY SCHOOL,Sub County,Mixed,
2971,10208316,IREMBU MIXED SECONDARY SCHOOL,Sub County,Mixed,
2972,10208317,KAHARO BOYS SECONDARY SCHOOL,Sub County,Boys,
2973,10208318,KIANJIRU-INI SECONDARY SCHOOL,Sub County,Mixed,
2974,10208319,IKUNDU SECONDARY SCHOOL,Sub County,Mixed,
2975,10226204,KIBAGE SECONDARY SCHOOL,Sub County,Mixed,
2976,10226206,KARIUA SECONDARY SCHOOL,Sub County,Mixed,
2977,10226207,MUKURIA SECONDARY SCHOOL,Sub County,Mixed,
2978,10226208,KANGUI SECONDARY SCHOOL,Sub County,Mixed,
2979,10226209,MUNG'ARIA SECONDARY SCHOOL,Sub County,Mixed,
2980,10226213,MURUKA SECONDARY SCHOOL,Sub County,Mixed,
2981,10226214,GATITU SECONDARY SCHOOL,Sub County,Mixed,
2982,10226215,NGUTHURU SECONDARY SCHOOL,Sub County,Mixed,
2983,10226218,KARITI SECONDARY SCHOOL,Sub County,Mixed,
2984,10226219,KAGIRA SECONDARY SCHOOL,Sub County,Mixed,
2985,10226220,GITHUNGURI MIXED SECONDARY SCHOOL,Sub County,Mixed,
2986,10226221,WANGAI SECONDARY SCHOOL,Sub County,Mixed,
2987,10226222,2 0K2E0N KYCOPHEO S SECEOCONNDDAARRYY S CSHCOHOOOL LCHOICES LIST,Sub County,Mixed,
2988,10226223,MUKERENJU SECONDARY SCHOOL,Sub County,Mixed,
2989,10226224,KARIGU-INI SECONDARY SCHOOL,Sub County,Mixed,
2990,10226225,GAICHANJIRU MIXED SECONDARY SCHOOL,Sub County,Mixed,
2991,10226228,GAKUI SECONDARY SCHOOL,Sub County,Mixed,
2992,10226229,NGURWE-INI SECONDARY SCHOOL,Sub County,Mixed,
2993,10226230,MUGECHA SECONDARY SCHOOL,Sub County,Mixed,
2994,10226231,KIRIGITHU SECONDARY SCHOOL,Sub County,Mixed,
2995,10226233,KIHURU-INI SECONDARY SCHOOL,Sub County,Mixed,
2996,10226234,KIANGARI SECONDARY SCHOOL,Sub County,Mixed,
2997,10226235,KIRIRWA SECONDARY SCHOOL,Sub County,Mixed,
2998,10226237,MUTHERU SECONDARY SCHOOL,Sub County,Mixed,
2999,10226238,ST. MATHEW KIANYINGI SECONDARY SCHOOL,Sub County,Mixed,
3000,10226239,NG'ARARIA MIXED SECONDARY SCHOOL,Sub County,Mixed,
3001,10226240,KAGUTHI SECONDARY SCHOOL,Sub County,Mixed,
3002,10226241,KIAWAMBUTU SECONDARY SCHOOL,Sub County,Mixed,
3003,10226243,MANJUU SECONDARY SCHOOL,Sub County,Mixed,
3004,10226244,GATHAGE SECONDARY SCHOOL,Sub County,Mixed,
3005,10226246,KARUGIA SECONDARY SCHOOL,Sub County,Mixed,
3006,10226247,NAARO MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3007,10226248,GITHUMU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3008,10226249,GITHIGIA SECONDARY SCHOOL,Sub County,Mixed,
3009,10226250,P.C.E.A MAHUTIA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3010,10226251,KIRUNGURU MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3011,10226252,MUTITU SECONDARY SCHOOL,Sub County,Boys,
3012,10226253,KANDARA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3013,10226254,GATITUINI SECONDARY SCHOOL,Sub County,Mixed,
3014,10226255,KIIRI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3015,10226256,2 0G2IT0H KICGPI ES ESCECOONNDDAARRY YS SCCHHOOOOLL CHOICES LIST,Sub County,Mixed,
3016,10226258,GITURU DAY SECONDARY SCHOOL,Sub County,Mixed,
3017,10226259,MUIRI-INI SECONDARY SCHOOL,Sub County,Mixed,
3018,10227102,MATHEREINI SECONDARY SCHOOL,Sub County,Mixed,
3019,10227103,MUTUNGURU SECONDARY SCHOOL,Sub County,Mixed,
3020,10227104,NDUGAMANO SECONDARY SCHOOL,Sub County,Mixed,
3021,10227105,NGUKU SECONDARY SCHOOL,Sub County,Mixed,
3022,10227106,TURUTURU SECONDARY SCHOOL,Sub County,Mixed,
3023,10227107,KAREGA SECONDARY SCHOOL,Sub County,Mixed,
3024,10227108,GITHIMA SECONDARY SCHOOL,Sub County,Mixed,
3025,10227109,KIGUMO MIXED SECONDARY SCHOOL,Sub County,Mixed,
3026,10227110,MARUMI SECONDARY SCHOOL,Sub County,Mixed,
3027,10227111,GATUMBI SECONDARY SCHOOL,Sub County,Mixed,
3028,10227201,MUTHITHI SECONDARY SCHOOL,Sub County,Mixed,
3029,10227202,NJORA SECONDARY SCHOOL,Sub County,Mixed,
3030,10227203,WAMAHIGA SECONDARY SCHOOL,Sub County,Mixed,
3031,10227204,GITHEMBE SECONDARY SCHOOL,Sub County,Mixed,
3032,10227205,MUMBU SECONDARY SCHOOL,Sub County,Mixed,
3033,10227208,KIUGU SECONDARY SCHOOL,Sub County,Mixed,
3034,10227209,ACK KAHUMBU SECONDARY SCHOOL,Sub County,Mixed,
3035,10227210,MUGUMOINI SECONDARY SCHOOL,Sub County,Mixed,
3036,10227211,THAMARA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3037,10227302,MARIIRA SECONDARY SCHOOL,Sub County,Mixed,
3038,10227304,MWARANO SECONDARY SCHOOL,Sub County,Mixed,
3039,10227305,MUNUNGA SECONDARY SCHOOL,Sub County,Mixed,
3040,10227306,KANDERENDU SECONDARY SCHOOL,Sub County,Mixed,
3041,10227307,KINYONA SECONDARY SCHOOL,Sub County,Mixed,
3042,10227308,MAKOMBOKI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3043,10227309,2 0IK2U0M KBCIP SEE SCEOCNODNADRAYR SY CSHCHOOOOLL CHOICES LIST,Sub County,Mixed,
3044,10227310,ST FRANCIS MUKUYU-INI SECONDARY SCHOOL,Sub County,Mixed,
3045,10227311,KARINGA SECONDARY SCHOOL,Sub County,Mixed,
3046,10227312,ST. PAUL KAMUKABI SECONDARY SCHOOL,Sub County,Mixed,
3047,10227315,MATU DAY MIXED SECONDARY SCHOOL,Sub County,Mixed,
3048,10227316,MAIRI SECONDARY SCHOOL,Sub County,Mixed,
3049,10227317,GIKIGIE SECONDARY SCHOOL,Sub County,Mixed,
3050,10227318,BISHOP GATIMU KINYONA GIRLS SECONDARY SCHOOL,Sub County,Boys,
3051,10228103,GIKOE SECONDARY SCHOOL,Sub County,Mixed,
3052,10228104,MIORO SECONDARY SCHOOL,Sub County,Mixed,
3053,10228105,KIAMUTURI SECONDARY SCHOOL,Sub County,Mixed,
3054,10228106,MATHIOYA MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
3055,10228107,GATUNGURU SECONDARY SCHOOL,Sub County,Mixed,
3056,10228202,THUITA SECONDARY SCHOOL,Sub County,Mixed,
3057,10228203,KAMUNE SECONDARY SCHOOL,Sub County,Mixed,
3058,10228205,IRURI SECONDARY SCHOOL,Sub County,Mixed,
3059,10228206,KIHURO SECONDARY SCHOOL,Sub County,Mixed,
3060,10228207,NGAMBA SECONDARY SCHOOL,Sub County,Mixed,
3061,10228208,ST. PHILIP GIKINDU SECONDARY SCHOOL,Sub County,Mixed,
3062,10228209,WAHUNDURA MIXED SECONDARY SCHOOL,Sub County,Mixed,
3063,10228302,GITONGU SECONDARY SCHOOL,Sub County,Mixed,
3064,10228303,GITUGI MIXED SECONDARY,Sub County,Mixed,
3065,10228304,KAMBARA SECONDARY SCHOOL,Sub County,Mixed,
3066,10228305,MATUTO SECONDARY SCHOOL,Sub County,Mixed,
3067,10228306,RUNYEKI SECONDARY SCHOOL,Sub County,Mixed,
3068,10228307,MIHUTI MIXED DAY SECONDARY SCHOOL,Sub County,Mixed,
